smiles,pka_values,functional_groups,mapping,pka_matrix
C1CN(CCN1)c2ccccc2,[8.6],"[{'type': 'SecondaryAmine', 'indices': [5]}, {'type': 'TertiaryAmine', 'indices': [2]}]","{'8.6': {'type': 'SecondaryAmine', 'indices': [5]}}","[(5, 8.6)]"
C=CCCCc1ccccn1,[5.97],"[{'type': 'Pyridine', 'indices': [10]}]","{'5.97': {'type': 'Pyridine', 'indices': [10]}}","[(10, 5.97)]"
Cc1[nH]ccn1,[7.9],"[{'type': 'Imidazole', 'indices': [5]}]","{'7.9': {'type': 'Imidazole', 'indices': [5]}}","[(5, 7.9)]"
Cc1c(C)c2cccnc2c3ncccc13,[5.6],"[{'type': 'Pyridine', 'indices': [8]}, {'type': 'Pyridine', 'indices': [11]}]","{'5.6': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.6)]"
Cc1c[nH]cn1,[7.55],"[{'type': 'Imidazole', 'indices': [5]}]","{'7.55': {'type': 'Imidazole', 'indices': [5]}}","[(5, 7.55)]"
Cc1cc(C)cc(O)c1,[9.98],"[{'type': 'Phenol', 'indices': [7]}]","{'9.98': {'type': 'Phenol', 'indices': [7]}}","[(7, 9.98)]"
Cc1cc(C)nc(C)c1,[7.22],"[{'type': 'Pyridine', 'indices': [5]}]","{'7.22': {'type': 'Pyridine (guess)', 'indices': [5]}}","[(5, 7.22)]"
Cc1cc2cccnc2c3ncccc13,[5.27],"[{'type': 'Pyridine', 'indices': [7]}, {'type': 'Pyridine', 'indices': [10]}]","{'5.27': {'type': 'Pyridine', 'indices': [7]}}","[(7, 5.27)]"
Cc1ccc(CN)cc1,[9.51],"[{'type': 'PrimaryAmine', 'indices': [6]}]","{'9.51': {'type': 'PrimaryAmine', 'indices': [6]}}","[(6, 9.51)]"
Cc1ccc(N)c(N)c1,[4.79],"[{'type': 'Aniline', 'indices': [5]}, {'type': 'Aniline', 'indices': [7]}]","{'4.79': {'type': 'Aniline', 'indices': [5]}}","[(5, 4.79)]"
Oc1cccc(I)c1,[8.74],"[{'type': 'Phenol', 'indices': [0]}]","{'8.74': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.74)]"
Oc1cccc(c1)C#N,[8.36],"[{'type': 'Phenol', 'indices': [0]}]","{'8.36': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.36)]"
Oc1cccc(c1)[N+]([O-])=O,[8.16],"[{'type': 'Phenol', 'indices': [0]}]","{'8.16': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.16)]"
Oc1cccc2ccccc12,[9.14],"[{'type': 'Phenol', 'indices': [0]}]","{'9.14': {'type': 'Phenol', 'indices': [0]}}","[(0, 9.14)]"
Oc1cccc[n+]1[O-],[5.81],"[{'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [6]}]","{'5.81': {'type': 'Pyridine', 'indices': [6]}}","[(6, 5.81)]"
Oc1ccccc1,[9.78],"[{'type': 'Phenol', 'indices': [0]}]","{'9.78': {'type': 'Phenol', 'indices': [0]}}","[(0, 9.78)]"
Oc1ccccc1Br,[8.22],"[{'type': 'Phenol', 'indices': [0]}]","{'8.22': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.22)]"
CC(=O)NCCc1c[nH]cn1,[7.12],"[{'type': 'Imidazole', 'indices': [10]}]","{'7.12': {'type': 'Imidazole', 'indices': [10]}}","[(10, 7.12)]"
CC(=O)NO,[9.29],"[{'type': 'NHydroxylamine', 'indices': [4]}]","{'9.29': {'type': 'NHydroxylamine', 'indices': [4]}}","[(4, 9.29)]"
CC(C)(C)N,[10.65],"[{'type': 'PrimaryAmine', 'indices': [4]}]","{'10.65': {'type': 'PrimaryAmine', 'indices': [4]}}","[(4, 10.65)]"
Oc1ccc2ccccc2c1,[9.31],"[{'type': 'Phenol', 'indices': [0]}]","{'9.31': {'type': 'Phenol', 'indices': [0]}}","[(0, 9.31)]"
Oc1ccc2ccccc2c1[N+]([O-])=O,[5.75],"[{'type': 'Phenol', 'indices': [0]}]","{'5.75': {'type': 'Phenol', 'indices': [0]}}","[(0, 5.75)]"
Oc1cccc(Br)c1,[8.75],"[{'type': 'Phenol', 'indices': [0]}]","{'8.75': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.75)]"
Oc1cccc(F)c1,[8.81],"[{'type': 'Phenol', 'indices': [0]}]","{'8.81': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.81)]"
s1cccc1c2ccccn2,[3.69],"[{'type': 'Pyridine', 'indices': [10]}]","{'3.69': {'type': 'Pyridine', 'indices': [10]}}","[(10, 3.69)]"
s1ccc(c1)c2ccncc2,[5.6],"[{'type': 'Pyridine', 'indices': [8]}]","{'5.6': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.6)]"
s1ccc(c1)c2cccnc2,[4.81],"[{'type': 'Pyridine', 'indices': [9]}]","{'4.81': {'type': 'Pyridine', 'indices': [9]}}","[(9, 4.81)]"
C1CCNC1,[11.3],"[{'type': 'SecondaryAmine', 'indices': [3]}]","{'11.3': {'type': 'SecondaryAmine', 'indices': [3]}}","[(3, 11.3)]"
CC(=O)CC(O)=O,[3.57],"[{'type': 'COOH', 'indices': [5]}]","{'3.57': {'type': 'COOH', 'indices': [5]}}","[(5, 3.57)]"
CC(=O)CCC(O)=O,[4.5],"[{'type': 'COOH', 'indices': [6]}]","{'4.5': {'type': 'COOH', 'indices': [6]}}","[(6, 4.5)]"
CC(=O)NC(Cc1ccc(O)cc1)C(O)=O,[9.88],"[{'type': 'COOH', 'indices': [14]}, {'type': 'Phenol', 'indices': [10]}]","{'9.88': {'type': 'Phenol', 'indices': [10]}}","[(10, 9.88)]"
CC(=O)NCC(O)=O,[3.49],"[{'type': 'COOH', 'indices': [6]}]","{'3.49': {'type': 'COOH', 'indices': [6]}}","[(6, 3.49)]"
s1cnc(c1)c2ccccn2,[4.05],"[{'type': 'Pyridine', 'indices': [10]}]","{'4.05': {'type': 'Pyridine', 'indices': [10]}}","[(10, 4.05)]"
s1cccc1c2ccncc2,[5.48],"[{'type': 'Pyridine', 'indices': [8]}]","{'5.48': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.48)]"
s1cccc1c2cccnc2,[4.41],"[{'type': 'Pyridine', 'indices': [9]}]","{'4.41': {'type': 'Pyridine', 'indices': [9]}}","[(9, 4.41)]"
C(c1ccccc1)c2ccccn2,[5.12],"[{'type': 'Pyridine', 'indices': [12]}]","{'5.12': {'type': 'Pyridine', 'indices': [12]}}","[(12, 5.12)]"
OCC1=CC(=O)C(=C(I)O1)O,[6.52],"[{'type': 'Phenol', 'indices': [10]}]","{'6.52': {'type': 'Phenol', 'indices': [10]}}","[(10, 6.52)]"
OCCC(O)=O,[4.4],"[{'type': 'COOH', 'indices': [4]}]","{'4.4': {'type': 'COOH', 'indices': [4]}}","[(4, 4.4)]"
OCCCCCc1ccccn1,[5.93],"[{'type': 'Pyridine', 'indices': [11]}]","{'5.93': {'type': 'Pyridine', 'indices': [11]}}","[(11, 5.93)]"
OCCCCCc1cccnc1,[5.72],"[{'type': 'Pyridine', 'indices': [10]}]","{'5.72': {'type': 'Pyridine', 'indices': [10]}}","[(10, 5.72)]"
OCCCCCc1ccncc1,[6.04],"[{'type': 'Pyridine', 'indices': [9]}]","{'6.04': {'type': 'Pyridine', 'indices': [9]}}","[(9, 6.04)]"
OCCCCc1ccccn1,[5.83],"[{'type': 'Pyridine', 'indices': [10]}]","{'5.83': {'type': 'Pyridine', 'indices': [10]}}","[(10, 5.83)]"
OCCCCc1cccnc1,[5.7],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.7': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.7)]"
O[C@H]1CCCC[C@H]1C(O)=O,[4.6],"[{'type': 'COOH', 'indices': [8]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}]","{'4.6': {'type': 'COOH', 'indices': [8]}}","[(8, 4.6)]"
O[C@H]1CCC[C@@H](C1)C(O)=O,[4.53],"[{'type': 'COOH', 'indices': [8]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}]","{'4.53': {'type': 'COOH', 'indices': [8]}}","[(8, 4.53)]"
O[C@H]1CC[C@H](CC1)C(O)=O,[4.64],"[{'type': 'COOH', 'indices': [8]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}]","{'4.64': {'type': 'COOH', 'indices': [8]}}","[(8, 4.64)]"
CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,[7.95],"[{'type': 'COOH', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [9]}]","{'7.95': {'type': 'PrimaryAmine', 'indices': [9]}}","[(9, 7.95)]"
CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,[7.9],"[{'type': 'COOH', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [13]}]","{'7.9': {'type': 'PrimaryAmine', 'indices': [13]}}","[(13, 7.9)]"
CC(C)N,[10.61],"[{'type': 'PrimaryAmine', 'indices': [3]}]","{'10.61': {'type': 'PrimaryAmine', 'indices': [3]}}","[(3, 10.61)]"
CC(C)[C@H](N)C(N)=O,[7.72],"[{'type': 'PrimaryAmine', 'indices': [4]}]","{'7.72': {'type': 'PrimaryAmine', 'indices': [4]}}","[(4, 7.72)]"
CC(C)c1[nH]ccn1,[7.77],"[{'type': 'Imidazole', 'indices': [7]}]","{'7.77': {'type': 'Imidazole', 'indices': [7]}}","[(7, 7.77)]"
ONC(=O)c1ccccc1,[8.76],"[{'type': 'NHydroxylamine', 'indices': [0]}]","{'8.76': {'type': 'NHydroxylamine', 'indices': [0]}}","[(0, 8.76)]"
ONC1=C(CCCC1)N=O,[10.57],"[{'type': 'NHydroxylamine', 'indices': [0]}]","{'10.57': {'type': 'NHydroxylamine', 'indices': [0]}}","[(0, 10.57)]"
ONC1=C(CCCCC1)N=O,[10.54],"[{'type': 'NHydroxylamine', 'indices': [0]}]","{'10.54': {'type': 'NHydroxylamine', 'indices': [0]}}","[(0, 10.54)]"
O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,[3.2],"[{'type': 'COOH', 'indices': [11]}]","{'3.2': {'type': 'COOH', 'indices': [11]}}","[(11, 3.2)]"
O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,[2.97],"[{'type': 'COOH', 'indices': [11]}]","{'2.97': {'type': 'COOH', 'indices': [11]}}","[(11, 2.97)]"
O[C@@H]1CCCC[C@H]1C(O)=O,[4.49],"[{'type': 'COOH', 'indices': [8]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}]","{'4.49': {'type': 'COOH', 'indices': [8]}}","[(8, 4.49)]"
O[C@@H]1CCC[C@@H](C1)C(O)=O,[4.41],"[{'type': 'COOH', 'indices': [8]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}]","{'4.41': {'type': 'COOH', 'indices': [8]}}","[(8, 4.41)]"
O[C@@H]1CC[C@H](CC1)C(O)=O,[4.48],"[{'type': 'COOH', 'indices': [8]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}]","{'4.48': {'type': 'COOH', 'indices': [8]}}","[(8, 4.48)]"
OCc1cccnc1,[5.0],"[{'type': 'Pyridine', 'indices': [6]}]","{'5.0': {'type': 'Pyridine', 'indices': [6]}}","[(6, 5.0)]"
OCc1ccncc1,[5.41],"[{'type': 'Pyridine', 'indices': [5]}]","{'5.41': {'type': 'Pyridine', 'indices': [5]}}","[(5, 5.41)]"
ONC(/c1ccccc1)=C(N=O)\c2ccccc2,[10.3],"[{'type': 'NHydroxylamine', 'indices': [0]}]","{'10.3': {'type': 'NHydroxylamine', 'indices': [0]}}","[(0, 10.3)]"
CC1CCC(=C(C1)NO)N=O,[10.54],"[{'type': 'NHydroxylamine', 'indices': [8]}]","{'10.54': {'type': 'NHydroxylamine', 'indices': [8]}}","[(8, 10.54)]"
CCC(=O)C(O)=O,[2.48],"[{'type': 'COOH', 'indices': [5]}]","{'2.48': {'type': 'COOH', 'indices': [5]}}","[(5, 2.48)]"
CCC(=O)NO,[9.44],"[{'type': 'NHydroxylamine', 'indices': [5]}]","{'9.44': {'type': 'NHydroxylamine', 'indices': [5]}}","[(5, 9.44)]"
OC(=O)c1occc1,[2.97],"[{'type': 'COOH', 'indices': [0]}]","{'2.97': {'type': 'COOH', 'indices': [0]}}","[(0, 2.97)]"
OC(=O)c1sccc1,[3.33],"[{'type': 'COOH', 'indices': [0]}]","{'3.33': {'type': 'COOH', 'indices': [0]}}","[(0, 3.33)]"
OC(C(O)=O)c1ccccc1,[3.2],"[{'type': 'COOH', 'indices': [3]}]","{'3.2': {'type': 'COOH', 'indices': [3]}}","[(3, 3.2)]"
OC(Cc1ccccn1)c2ccccc2,[5.2],"[{'type': 'Pyridine', 'indices': [8]}]","{'5.2': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.2)]"
CC(O)C(O)=O,[3.67],"[{'type': 'COOH', 'indices': [4]}]","{'3.67': {'type': 'COOH', 'indices': [4]}}","[(4, 3.67)]"
CC(O)CN,[9.49],"[{'type': 'PrimaryAmine', 'indices': [4]}]","{'9.49': {'type': 'PrimaryAmine', 'indices': [4]}}","[(4, 9.49)]"
CC(O)Cc1ccccn1,[5.48],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.48': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.48)]"
CC(Oc1ccccc1)C(O)=O,[2.88],"[{'type': 'COOH', 'indices': [10]}]","{'2.88': {'type': 'COOH', 'indices': [10]}}","[(10, 2.88)]"
CC1=C(O)C(=O)C=CO1,[8.53],"[{'type': 'Phenol', 'indices': [3]}]","{'8.53': {'type': 'Phenol', 'indices': [3]}}","[(3, 8.53)]"
CC1=CC(=O)C(=CO1)O,[8.02],"[{'type': 'Phenol', 'indices': [8]}]","{'8.02': {'type': 'Phenol', 'indices': [8]}}","[(8, 8.02)]"
OCCc1cccnc1,[5.38],"[{'type': 'Pyridine', 'indices': [7]}]","{'5.38': {'type': 'Pyridine', 'indices': [7]}}","[(7, 5.38)]"
OCCc1ccncc1,[5.68],"[{'type': 'Pyridine', 'indices': [6]}]","{'5.68': {'type': 'Pyridine', 'indices': [6]}}","[(6, 5.68)]"
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,[3.46],"[{'type': 'COOH', 'indices': [11]}]","{'3.46': {'type': 'COOH', 'indices': [11]}}","[(11, 3.46)]"
OCc1ccccn1,[4.9],"[{'type': 'Pyridine', 'indices': [7]}]","{'4.9': {'type': 'Pyridine', 'indices': [7]}}","[(7, 4.9)]"
CC(CO)(CO)C(O)=O,[4.42],"[{'type': 'COOH', 'indices': [7]}]","{'4.42': {'type': 'COOH', 'indices': [7]}}","[(7, 4.42)]"
CC(N)C(=O)NC(C)(C)C(N)=O,[7.93],"[{'type': 'PrimaryAmine', 'indices': [2]}]","{'7.93': {'type': 'PrimaryAmine', 'indices': [2]}}","[(2, 7.93)]"
OCCCCc1ccncc1,[6.01],"[{'type': 'Pyridine', 'indices': [8]}]","{'6.01': {'type': 'Pyridine', 'indices': [8]}}","[(8, 6.01)]"
OCCCc1ccccn1,[5.71],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.71': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.71)]"
OCCCc1cccnc1,[5.57],"[{'type': 'Pyridine', 'indices': [8]}]","{'5.57': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.57)]"
OCCCc1ccncc1,[5.9],"[{'type': 'Pyridine', 'indices': [7]}]","{'5.9': {'type': 'Pyridine', 'indices': [7]}}","[(7, 5.9)]"
OCCN1CCN(CC1)CC[S](O)(=O)=O,[7.49],"[{'type': 'SulfonicAcid', 'indices': [12]}, {'type': 'TertiaryAmine', 'indices': [3]}, {'type': 'TertiaryAmine', 'indices': [6]}]","{'7.49': {'type': 'TertiaryAmine', 'indices': [3]}}","[(3, 7.49)]"
OCCS,[9.4],"[{'type': 'Thiol', 'indices': [3]}]","{'9.4': {'type': 'Thiol', 'indices': [3]}}","[(3, 9.4)]"
OCCc1ccccn1,[5.37],"[{'type': 'Pyridine', 'indices': [8]}]","{'5.37': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.37)]"
CCC(N)CC,[10.41],"[{'type': 'PrimaryAmine', 'indices': [3]}]","{'10.41': {'type': 'PrimaryAmine', 'indices': [3]}}","[(3, 10.41)]"
CCC(O)(CC)C(O)=O,[3.62],"[{'type': 'COOH', 'indices': [7]}]","{'3.62': {'type': 'COOH', 'indices': [7]}}","[(7, 3.62)]"
CCC(Oc1ccccc1)C(O)=O,[2.99],"[{'type': 'COOH', 'indices': [11]}]","{'2.99': {'type': 'COOH', 'indices': [11]}}","[(11, 2.99)]"
CCC1=C(O)C(=O)C=CO1,[8.55],"[{'type': 'Phenol', 'indices': [4]}]","{'8.55': {'type': 'Phenol', 'indices': [4]}}","[(4, 8.55)]"
CCCC(N)C(=O)OC,[7.66],"[{'type': 'PrimaryAmine', 'indices': [4]}]","{'7.66': {'type': 'PrimaryAmine', 'indices': [4]}}","[(4, 7.66)]"
CCCCC(N)C(=O)OC,[7.68],"[{'type': 'PrimaryAmine', 'indices': [5]}]","{'7.68': {'type': 'PrimaryAmine', 'indices': [5]}}","[(5, 7.68)]"
CCCCC(O)C(O)=O,[3.68],"[{'type': 'COOH', 'indices': [7]}]","{'3.68': {'type': 'COOH', 'indices': [7]}}","[(7, 3.68)]"
OC(=O)C[Se]CCC=C,[3.77],"[{'type': 'COOH', 'indices': [0]}]","{'3.77': {'type': 'COOH', 'indices': [0]}}","[(0, 3.77)]"
OC(=O)C[Se]CCCC=C,[3.8],"[{'type': 'COOH', 'indices': [0]}]","{'3.8': {'type': 'COOH', 'indices': [0]}}","[(0, 3.8)]"
OC(=O)C[Se]c1ccccc1,[3.64],"[{'type': 'COOH', 'indices': [0]}]","{'3.64': {'type': 'COOH', 'indices': [0]}}","[(0, 3.64)]"
OC(=O)[C@@H]1CCC(=O)N1,[3.1],"[{'type': 'COOH', 'indices': [0]}]","{'3.1': {'type': 'COOH', 'indices': [0]}}","[(0, 3.1)]"
OC(=O)[C@@H]1CC[C@H](CC1)C(O)=O,[5.175000000000001],"[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [10]}]","{'5.175000000000001': {'type': 'COOH', 'indices': [0]}}","[(0, 5.175000000000001)]"
OC(=O)[C@@]1(CCC(=O)N1)c2ccccc2,[2.69],"[{'type': 'COOH', 'indices': [0]}]","{'2.69': {'type': 'COOH', 'indices': [0]}}","[(0, 2.69)]"
CCC(C)C(N)C(=O)OC,[7.54],"[{'type': 'PrimaryAmine', 'indices': [5]}]","{'7.54': {'type': 'PrimaryAmine', 'indices': [5]}}","[(5, 7.54)]"
CCC(C)N,[10.56],"[{'type': 'PrimaryAmine', 'indices': [4]}]","{'10.56': {'type': 'PrimaryAmine', 'indices': [4]}}","[(4, 10.56)]"
OC(=O)c1ccc(cc1)[N+]([O-])=O,[3.28],"[{'type': 'COOH', 'indices': [0]}]","{'3.28': {'type': 'COOH', 'indices': [0]}}","[(0, 3.28)]"
OC(=O)c1cccc(F)c1,[3.68],"[{'type': 'COOH', 'indices': [0]}]","{'3.68': {'type': 'COOH', 'indices': [0]}}","[(0, 3.68)]"
OC(=O)c1cccc(c1)[N+]([O-])=O,[3.28],"[{'type': 'COOH', 'indices': [0]}]","{'3.28': {'type': 'COOH', 'indices': [0]}}","[(0, 3.28)]"
OC(=O)CSCC=C,[3.57],"[{'type': 'COOH', 'indices': [0]}]","{'3.57': {'type': 'COOH', 'indices': [0]}}","[(0, 3.57)]"
OC(=O)CSCCC=C,[3.61],"[{'type': 'COOH', 'indices': [0]}]","{'3.61': {'type': 'COOH', 'indices': [0]}}","[(0, 3.61)]"
OC(=O)CSCCCC=C,[3.63],"[{'type': 'COOH', 'indices': [0]}]","{'3.63': {'type': 'COOH', 'indices': [0]}}","[(0, 3.63)]"
OC(=O)CSCc1ccccc1,[3.6],"[{'type': 'COOH', 'indices': [0]}]","{'3.6': {'type': 'COOH', 'indices': [0]}}","[(0, 3.6)]"
OC(=O)CSc1ccccc1,[3.33],"[{'type': 'COOH', 'indices': [0]}]","{'3.33': {'type': 'COOH', 'indices': [0]}}","[(0, 3.33)]"
OC1CC(=CC(O)C1O)C(O)=O,[4.01],"[{'type': 'COOH', 'indices': [10]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [6]}, {'type': 'AliphaticRingAlcohol', 'indices': [8]}]","{'4.01': {'type': 'COOH', 'indices': [10]}}","[(10, 4.01)]"
OCC(O)(CO)C(O)=O,[3.39],"[{'type': 'COOH', 'indices': [7]}]","{'3.39': {'type': 'COOH', 'indices': [7]}}","[(7, 3.39)]"
OCC(O)=O,[3.62],"[{'type': 'COOH', 'indices': [3]}]","{'3.62': {'type': 'COOH', 'indices': [3]}}","[(3, 3.62)]"
OCC(O)C(O)=O,[3.4],"[{'type': 'COOH', 'indices': [5]}]","{'3.4': {'type': 'COOH', 'indices': [5]}}","[(5, 3.4)]"
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,[2.68],"[{'type': 'COOH', 'indices': [0]}]","{'2.68': {'type': 'COOH', 'indices': [0]}}","[(0, 2.68)]"
OC(=O)c1ccc(F)cc1,[3.95],"[{'type': 'COOH', 'indices': [0]}]","{'3.95': {'type': 'COOH', 'indices': [0]}}","[(0, 3.95)]"
CCOC(=O)C(N)Cc1ccccc1,[7.12],"[{'type': 'PrimaryAmine', 'indices': [6]}]","{'7.12': {'type': 'PrimaryAmine', 'indices': [6]}}","[(6, 7.12)]"
CCOC(=O)CCN,[9.18],"[{'type': 'PrimaryAmine', 'indices': [7]}]","{'9.18': {'type': 'PrimaryAmine', 'indices': [7]}}","[(7, 9.18)]"
CCOC(=O)CN,[7.69],"[{'type': 'PrimaryAmine', 'indices': [6]}]","{'7.69': {'type': 'PrimaryAmine', 'indices': [6]}}","[(6, 7.69)]"
CCOC(=O)CNC(=O)CN,[7.76],"[{'type': 'PrimaryAmine', 'indices': [10]}]","{'7.76': {'type': 'PrimaryAmine', 'indices': [10]}}","[(10, 7.76)]"
CCSCC(O)=O,[3.6],"[{'type': 'COOH', 'indices': [5]}]","{'3.6': {'type': 'COOH', 'indices': [5]}}","[(5, 3.6)]"
CCCSCC(O)=O,[3.62],"[{'type': 'COOH', 'indices': [6]}]","{'3.62': {'type': 'COOH', 'indices': [6]}}","[(6, 3.62)]"
CCN,[10.69],"[{'type': 'PrimaryAmine', 'indices': [2]}]","{'10.69': {'type': 'PrimaryAmine', 'indices': [2]}}","[(2, 10.69)]"
CCN(CC)C(=O)CCN,[9.44],"[{'type': 'PrimaryAmine', 'indices': [9]}]","{'9.44': {'type': 'PrimaryAmine', 'indices': [9]}}","[(9, 9.44)]"
CCN(CC)C(=O)CN,[8.45],"[{'type': 'PrimaryAmine', 'indices': [8]}]","{'8.45': {'type': 'PrimaryAmine', 'indices': [8]}}","[(8, 8.45)]"
CCOC(=O)C(C)N,[7.91],"[{'type': 'PrimaryAmine', 'indices': [7]}]","{'7.91': {'type': 'PrimaryAmine', 'indices': [7]}}","[(7, 7.91)]"
CCOC(=O)C(N)C(C)C,[7.75],"[{'type': 'PrimaryAmine', 'indices': [6]}]","{'7.75': {'type': 'PrimaryAmine', 'indices': [6]}}","[(6, 7.75)]"
CCOC(=O)C(N)CC(C)C,[7.65],"[{'type': 'PrimaryAmine', 'indices': [6]}]","{'7.65': {'type': 'PrimaryAmine', 'indices': [6]}}","[(6, 7.65)]"
OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O,[7.54],"[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'COOH', 'indices': [16]}, {'type': 'COOH', 'indices': [19]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'7.54': {'type': 'TertiaryAmine', 'indices': [4]}}","[(4, 7.54)]"
OC(=O)CNC(=O)c1ccccc1,[3.48],"[{'type': 'COOH', 'indices': [0]}]","{'3.48': {'type': 'COOH', 'indices': [0]}}","[(0, 3.48)]"
OC(=O)COc1ccccc1,[2.96],"[{'type': 'COOH', 'indices': [0]}]","{'2.96': {'type': 'COOH', 'indices': [0]}}","[(0, 2.96)]"
CCCCSCC(O)=O,[3.63],"[{'type': 'COOH', 'indices': [7]}]","{'3.63': {'type': 'COOH', 'indices': [7]}}","[(7, 3.63)]"
CCCC[Se]CC(O)=O,[3.82],"[{'type': 'COOH', 'indices': [7]}]","{'3.82': {'type': 'COOH', 'indices': [7]}}","[(7, 3.82)]"
CCCN,[10.64],"[{'type': 'PrimaryAmine', 'indices': [3]}]","{'10.64': {'type': 'PrimaryAmine', 'indices': [3]}}","[(3, 10.64)]"
CCCCCCN,[10.64],"[{'type': 'PrimaryAmine', 'indices': [6]}]","{'10.64': {'type': 'PrimaryAmine', 'indices': [6]}}","[(6, 10.64)]"
CCCCCCSCC(O)=O,[3.65],"[{'type': 'COOH', 'indices': [9]}]","{'3.65': {'type': 'COOH', 'indices': [9]}}","[(9, 3.65)]"
