SMILES,pKa,Dissociable_Atoms,Functional_Group,Name
NCC(O)=O,2.79,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.401,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.35,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
NCC(O)=O,2.323,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine)
C[C@H](N)C(O)=O,9.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,9.4,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,9.67,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,9.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,9.87,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,10.2,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,10.3,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,10.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,10.295,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,9.868,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,9.491,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.33,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.31,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.35,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.4,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.62,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.72,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.77,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,3.01,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.39,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.344,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
C[C@H](N)C(O)=O,2.326,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine)
CCC(N)C(O)=O,9.63,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,9.63,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,10.24,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,10.61,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,10.25,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,9.83,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,9.46,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,2.3,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,2.32,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,2.79,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,2.97,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,2.31,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,2.286,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC(N)C(O)=O,2.29,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid
CCC[C@H](N)C(O)=O,9.65,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCC[C@H](N)C(O)=O,10.23,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCC[C@H](N)C(O)=O,9.808,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCC[C@H](N)C(O)=O,9.43,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCC[C@H](N)C(O)=O,2.31,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCC[C@H](N)C(O)=O,2.346,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCC[C@H](N)C(O)=O,2.318,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCC[C@H](N)C(O)=O,2.308,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline)
CCCC[C@H](N)C(O)=O,9.68,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CCCC[C@H](N)C(O)=O,10.261,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CCCC[C@H](N)C(O)=O,9.834,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CCCC[C@H](N)C(O)=O,9.452,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CCCC[C@H](N)C(O)=O,2.31,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CCCC[C@H](N)C(O)=O,2.362,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CCCC[C@H](N)C(O)=O,2.335,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CCCC[C@H](N)C(O)=O,2.323,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine)
CC(C)[C@H](N)C(O)=O,9.52,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,9.17,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,9.45,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,9.5,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,10.133,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,9.719,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,9.345,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,2.27,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,2.27,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,2.3,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,2.33,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,2.3,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,2.286,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)[C@H](N)C(O)=O,2.294,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine)
CC(C)C[C@H](N)C(O)=O,9.58,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,9.25,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,9.57,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,9.6,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,10.166,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,9.744,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,9.374,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,2.32,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,2.32,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,2.27,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,2.36,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,2.353,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,2.328,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC(C)C[C@H](N)C(O)=O,2.32,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine)
CC[C@H](C)[C@H](N)C(O)=O,9.6,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,9.24,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,9.55,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,10.15,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,10.17,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,9.758,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,9.479,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,2.26,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,2.24,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,2.4,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,2.84,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,2.333,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@H](N)C(O)=O,2.318,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine)
CC[C@H](C)[C@@H](N)C(O)=O,9.62,5:7,amine_primary:carboxylic_acid,D-allo-2-Amino-3-methylpentanoic acid (D-allo-Isoleucine)
CC[C@H](C)[C@@H](N)C(O)=O,2.2,5:7,amine_primary:carboxylic_acid,D-allo-2-Amino-3-methylpentanoic acid (D-allo-Isoleucine)
CC(C)(N)C(O)=O,10.1,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,10.07,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,10.11,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,10.58,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,10.65,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,10.206,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,9.81,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,2.34,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,2.33,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,2.48,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,2.84,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,2.38,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,2.357,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
CC(C)(N)C(O)=O,2.35,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid)
NC1(CCCC1)C(O)=O,10.31,0:7,amine_primary:carboxylic_acid,1-Aminocyclopentanecarboxylic acid (Cycloleucine)
NC1(CCCC1)C(O)=O,2.4,0:7,amine_primary:carboxylic_acid,1-Aminocyclopentanecarboxylic acid (Cycloleucine)
NC1(CCCCC1)C(O)=O,10.13,0:8,amine_primary:carboxylic_acid,1-Aminocyclohexanecarboxylic acid
NC1(CCCCC1)C(O)=O,2.41,0:8,amine_primary:carboxylic_acid,1-Aminocyclohexanecarboxylic acid
NC1(CCCCCC1)C(O)=O,10.46,0:9,amine_primary:carboxylic_acid,1-Aminocycloheptanecarboxylic acid
NC1(CCCCCC1)C(O)=O,2.59,0:9,amine_primary:carboxylic_acid,1-Aminocycloheptanecarboxylic acid
OC(=O)CNc1ccccc1,8.92,0:4,carboxylic_acid:amine_secondary,DL-Aminophenylacetic acid (Phenylglycine)
OC(=O)CNc1ccccc1,1.9,0:4,carboxylic_acid:amine_secondary,DL-Aminophenylacetic acid (Phenylglycine)
N[C@@H](Cc1ccccc1)C(O)=O,9.09,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,8.76,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,9.05,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,9.16,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,9.61,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,9.75,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,9.31,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,8.96,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,2.18,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,2.15,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,2.29,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,2.28,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,2.75,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
N[C@@H](Cc1ccccc1)C(O)=O,2.2,0:5,amine_primary:carboxylic_acid,L-2-Amino-3-phenylpropanoic acid (Phenylalanine)
OC(=O)CNc1ccc(cc1)[S](O)(=O)=O,8.66,0:4,carboxylic_acid:amine_secondary,DL-Amino-4-sulfophenylacetic acid (4-Sulfophenylglycine)
OC(=O)CNc1ccc(cc1)[S](O)(=O)=O,1.8,0:4,carboxylic_acid:amine_secondary,DL-Amino-4-sulfophenylacetic acid (4-Sulfophenylglycine)
N[C@@H](CC[S](O)(=O)=O)C(O)=O,8.93,9:0,carboxylic_acid:amine_primary,DL-2-Amino-4-sulfobutanoic acid (Homocysteic acid)
N[C@@H](CC[S](O)(=O)=O)C(O)=O,2.11,9:0,carboxylic_acid:amine_primary,DL-2-Amino-4-sulfobutanoic acid (Homocysteic acid)
NCCC(O)=O,10.08,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,9.75,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,10.05,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,10.14,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,10.65,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,10.71,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,11.14,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,10.582,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,10.295,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,10.029,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,3.51,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,3.47,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,3.48,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,3.67,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,4.03,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,4.19,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,4.37,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,3.609,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,3.551,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
NCCC(O)=O,3.52,0:4,amine_primary:carboxylic_acid,3-Aminopropanoic acid (beta-Alanine)
N[C@H]1CCC[C@H]1C(O)=O,10.1,0:7,amine_primary:carboxylic_acid,cis-2-Aminocyclopentane-1-carboxylic acid
N[C@H]1CCC[C@H]1C(O)=O,3.54,0:7,amine_primary:carboxylic_acid,cis-2-Aminocyclopentane-1-carboxylic acid
N[C@@H]1CCC[C@H]1C(O)=O,9.91,0:7,amine_primary:carboxylic_acid,trans-2-Aminocyclopentane-1-carboxylic acid
N[C@@H]1CCC[C@H]1C(O)=O,3.75,0:7,amine_primary:carboxylic_acid,trans-2-Aminocyclopentane-1-carboxylic acid
N[C@H]1CCCC[C@H]1C(O)=O,10.54,0:8,amine_primary:carboxylic_acid,cis-2-Aminocyclohexane-1-carboxylic acid
N[C@H]1CCCC[C@H]1C(O)=O,3.49,0:8,amine_primary:carboxylic_acid,cis-2-Aminocyclohexane-1-carboxylic acid
N[C@@H]1CCCC[C@H]1C(O)=O,10.01,0:8,amine_primary:carboxylic_acid,trans-2-Aminocyclohexane-1-carboxylic acid
N[C@@H]1CCCC[C@H]1C(O)=O,3.47,0:8,amine_primary:carboxylic_acid,trans-2-Aminocyclohexane-1-carboxylic acid
N[C@H]1CC=CC[C@H]1C(O)=O,10.2,0:8,amine_primary:carboxylic_acid,cis-2-Amino-4-cyclohexene-1-carboxylic acid
N[C@H]1CC=CC[C@H]1C(O)=O,3.29,0:8,amine_primary:carboxylic_acid,cis-2-Amino-4-cyclohexene-1-carboxylic acid
N[C@@H]1CC=CC[C@H]1C(O)=O,10.29,0:8,amine_primary:carboxylic_acid,trans-2-Amino-4-cyclohexene-1-carboxylic acid
N[C@@H]1CC=CC[C@H]1C(O)=O,3.33,0:8,amine_primary:carboxylic_acid,trans-2-Amino-4-cyclohexene-1-carboxylic acid
OC(=O)CCNc1ccccc1,9.0,0:5,carboxylic_acid:amine_secondary,DL-3-Amino-3-phenylpropanoic acid (Phenyl-beta-Alanine)
OC(=O)CCNc1ccccc1,3.4,0:5,carboxylic_acid:amine_secondary,DL-3-Amino-3-phenylpropanoic acid (Phenyl-beta-Alanine)
NCCCC(O)=O,10.35,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,10.03,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,10.33,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,10.43,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,11.33,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,11.026,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,10.556,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,10.134,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,4.02,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,3.97,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,4.0,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,4.09,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,4.87,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,4.057,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,4.031,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCC(O)=O,4.027,0:5,amine_primary:carboxylic_acid,4-Aminobutanoic acid
NCCCCC(O)=O,10.6,0:6,amine_primary:carboxylic_acid,5-Aminopentanoic acid
NCCCCC(O)=O,10.766,0:6,amine_primary:carboxylic_acid,5-Aminopentanoic acid
NCCCCC(O)=O,4.2,0:6,amine_primary:carboxylic_acid,5-Aminopentanoic acid
NCCCCC(O)=O,4.26,0:6,amine_primary:carboxylic_acid,5-Aminopentanoic acid
NCCCCC(O)=O,4.27,0:6,amine_primary:carboxylic_acid,5-Aminopentanoic acid
NCCCCC(O)=O,4.25,0:6,amine_primary:carboxylic_acid,5-Aminopentanoic acid
NCCCCCC(O)=O,10.67,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
NCCCCCC(O)=O,11.45,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
NCCCCCC(O)=O,11.334,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
NCCCCCC(O)=O,10.804,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
NCCCCCC(O)=O,10.328,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
NCCCCCC(O)=O,4.33,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
NCCCCCC(O)=O,5.06,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
NCCCCCC(O)=O,4.392,0:7,amine_primary:carboxylic_acid,6-Aminohexanoic acid
