Metal ion,Ligand,Formula,Figure definition,Ligand class,Equilibrium,Temperature (C),Ionic strength,Value type,Value,PubChemFormula,PubChemSMILES,FormulaMatch
H⁺,D-allo-2-Amino-3-methylpentanoic acid,C6H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.62,C6H13NO2,CC(C)C[C@@H](C(=O)O)N,True
H⁺,2-Amino-2-methylpropanoic acid,C4H9N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.1,,,False
H⁺,DL-2-Amino-4-pentenoic acid,C5H9N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.28,,,False
H⁺,DL-2-Amino-5-hexenoic acid,C6H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.43,C5H9NO2,C=CCC(C(=O)O)N,False
H⁺,DL-2-Amino-6-heptenoic acid,C7H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.52,,,False
H⁺,1-Aminocyclopentanecarboxylic acid,C6H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,10.31,C4H9NO2,CC(C)(C(=O)O)N,False
H⁺,1-Aminocyclohexanecarboxylic acid,C7H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,10.13,C6H11NO2,C1CCC(C1)(C(=O)O)N,False
H⁺,1-Aminocycloheptanecarboxylic acid,C8H15N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,10.46,C7H13NO2,C1CCC(CC1)(C(=O)O)N,False
H⁺,DL-Aminophenylacetic acid,C8H9N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.92,C8H15NO2,C1CCCC(CC1)(C(=O)O)N,False
H⁺,L-2-Amino-3-phenylpropanoic acid,C9H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.09,,,False
H⁺,DL-2-Amino-3-chloropropanoic acid,C3H6Cl1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.18,,,False
H⁺,DL-2-Amino-3-chlorobutanoic acid,C4H8Cl1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.07,,,False
H⁺,DL-2-Amino-3-(2-fluorophenyl)propanoic acidalanine),C9H10F1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.01,,,False
H⁺,DL-2-Amino-3-(3-fluorophenyl)propanoic acidalanine),C9H10F1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.98,,,False
H⁺,DL-2-Amino-3-(4-fluorophenyl)propanoic acidalanine),C9H10F1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.05,,,False
H⁺,DL-2-Amino-3-(2-chlorophenyl)propanoic acidalanine),C9H10Cl1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.94,,,False
H⁺,DL-2-Amino-3-(3-chlorophenyl)propanoic acidalanine),C9H10Cl1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.91,,,False
H⁺,DL-2-Amino-3-(4-chlorophenyl)propanoic acidalanine),C9H10Cl1N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.96,,,False
H⁺,DL-Amino-4-sulfophenylacetic acid,C8H9N1O5S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.66,,,False
H⁺,DL-2-Amino-4-sulfobutanoic acid,C4H9N1O5S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.93,,,False
H⁺,3-Aminopropanoic acid,C3H7N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.08,,,False
H⁺,DL-3-Aminobutanoic acid,C4H9N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.05,C3H7NO2,C(CN)C(=O)O,False
H⁺,cis-2-Aminocyclopentane-1-carboxylic acid,C6H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.1,C4H9NO2,CC(CC(=O)O)N,False
H⁺,trans-2-Aminocyclopentane-1-carboxylic acid,C6H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,9.91,,,False
H⁺,cis-2-Aminocyclohexane-1-carboxylic acid,C7H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.54,C6H11NO2,C1C[C@H]([C@@H](C1)N)C(=O)O,False
H⁺,trans-2-Aminocyclohexane-1-carboxylic acid,C7H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.01,C6H11NO2,C1C[C@@H]([C@@H](C1)N)C(=O)O,False
H⁺,cis-2-Amino-4-cyclohexene-1-carboxylic acid,C7H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.2,,,False
H⁺,trans-2-Amino-4-cyclohexene-1-carboxylic acid,C7H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.29,C7H11NO2,C1C=CC[C@@H]([C@@H]1C(=O)O)N,True
H⁺,DL-3-Amino-3-phenylpropanoic acid,C9H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,9.0,C7H11NO2,C1C=CC[C@H]([C@@H]1C(=O)O)N,False
H⁺,4-Aminobutanoic acid,C4H9N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.35,C4H9NO2,C(CC(=O)O)CN,True
H⁺,5-Aminopentanoic acid,C5H11N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.6,C5H11NO2,C(CCN)CC(=O)O,True
H⁺,6-Aminohexanoic acid,C6H13N1O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.67,,,False
H⁺,7-Aminoheptanoic acid,C7H15N1O2,HL,Aza macrocycles with carboxylic acids,[H₂L]/[HL][H],25,0.0,Log K,4.502,,,False
H⁺,Aminopropanedioic acid,C3H5N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.22,C6H13NO2,C(CCC(=O)O)CCN,False
H⁺,L-Aminobutanedioic acid,C4H7N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.66,C7H15NO2,C(CCCN)CCC(=O)O,False
H⁺,DL-2-Amino-3-methylbutanedioic acid,C5H9N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,9.48,C3H5NO4,C(C(=O)O)(C(=O)O)N,False
H⁺,L-2-Aminopentanedioic acid,C5H9N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.58,,,False
H⁺,DL-2-Amino-2-methylpentanedioic acid,C6H11N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.72,,,False
H⁺,DL-2-Aminohexanedioic acid,C6H11N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.73,,,False
H⁺,DL-2-Amino-3-hydroxypentanedioic acid,C5H9N1O5,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.06,,,False
H⁺,(3-Aminopropyl)malonic acid,C6H11N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.45,,,False
H⁺,L-2-Amino-3-phosphopropanoic acid,C3H8N1O6P1,H3L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.8,,,False
H⁺,L-2-Amino-2-methyl-3-phosphopropanoic acid,C4H10N1O6P1,H4L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.07,C6H11NO4,C(CC(C(=O)O)N)CC(=O)O,False
H⁺,L-2-Amino-3-phosphobutanoic acid,C4H10N1O6P1,H4L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.67,,,False
H⁺,DL-2-Amino-3-(phenylphospho)propanoic acid,C9H12N1O6P1,H3L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.79,,,False
H⁺,DL-2-Amino-3-phosphonopropanoic acid,C3H8N1O5P1,H4L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.74,,,False
H⁺,DL-2-Amino-4-phosphonobutanoic acid,C4H10N1O5P1,H4L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.21,,,False
H⁺,DL-3-Amino-2-phosphonopropanoic acid,C3H8N1O5P1,H4L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.07,,,False
H⁺,D-3-Amino-3-carboxypropanohydroxamic acid,C4H8N2O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,9.37,,,False
H⁺,DL-2-Amino-3-(2-hydroxyphenyl)propanoic acid,C9H11N1O3,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,11.01,,,False
H⁺,DL-2-Amino-3-(3-hydroxyphenyl)propanoic acid,C9H11N1O3,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.04,C4H10NO5P,C(CP(=O)(O)O)C(C(=O)O)N,False
H⁺,L-2-Amino-3-(4-hydroxyphenyl)propanoic acid,C9H11N1O3,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.1,,,False
H⁺,L-2-Amino-2-methyl-3-(4-hydroxyphenyl)propanoic acid,C10H13N1O3,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.24,,,False
H⁺,"L-2-Amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid",C9H9I2N1O3,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,9.1,,,False
H⁺,DL-2-Amino-3-(3-hydroxy-4-methoxyphenyl)propanoic acid,C10H13N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.12,,,False
H⁺,DL-2-Amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,C10H13N1O4,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.14,,,False
H⁺,L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid,C9H12N2O3,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.19,,,False
H⁺,"DL-2-Amino-2-(3,4-dihydroxyphenyl)acetic acid",C8H9N1O4,H3L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,1.0,Log K,13.6,,,False
H⁺,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid",C9H11N1O4,H3L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,13.4,,,False
H⁺,"L-2-Amino-2-methyl-3-(3,4-dihydroxyphenyl)propanoic acid",C10H13N1O4,H3L,Aza macrocycles with carboxylic acids,[H₂L]/[HL][H],25,0.1,Log K,9.99,,,False
H⁺,L-2-Amino-3-hydroxypropanoic acid,C3H7N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.05,,,False
H⁺,L-2-Amino-3-hydroxybutanoic acid,C4H9N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.94,,,False
H⁺,allo-L-2-Amino-3-hydroxybutanoic acid,C4H9N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.92,,,False
H⁺,erythro-2-Amino-3-hydroxy-3-phenylpropanoic acid,C9H11N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.7,,,False
H⁺,threo-2-Amino-3-hydroxy-3-phenylpropanoic acid,C9H11N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.87,,,False
H⁺,L-2-Amino-4-hydroxybutanoic acid,C4H9N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.28,,,False
H⁺,DL-3-Amino-2-hydroxypropanoic acid,C3H7N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.13,,,False
H⁺,DL-4-Amino-3-hydroxybutanoic acid,C4H9N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.46,,,False
H⁺,"L-trans-2-Amino-3-hydroxy-2,3-dihydrobenzoic acid",C7H9N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.56,,,False
H⁺,"D-gluco-2-Amino-3,4,5,6-tetrahydroxyhexanoic acid",C6H13N1O6,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.08,C3H7NO3,C(C(C(=O)O)O)N,False
H⁺,DL-Amino-4-Methoxyphenylacetic acid,C9H11N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.07,,,False
H⁺,L-2-Aminobutanedioic acid 4-methyl ester,C5H9N1O4,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.5,C4H9NO3,C(C(CN)O)C(=O)O,False
H⁺,DL-2-Aminopentanedioic acid 5-ethyl ester,C7H13N1O4,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.0,Log K,9.19,,,False
H⁺,L-2-Aminopentanedioic acid 5-benzyl ester,C12H15N1O4,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.89,,,False
H⁺,DL-2-Aminopentanedioic acid 1-ethyl ester,C7H13N1O4,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.0,Log K,7.84,,,False
H⁺,L-2-Aminobutanedioic acid 4-amide,C4H8N2O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.73,,,False
H⁺,L-2-Aminopentanedioic acid 5-amide,C5H10N2O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.0,,,False
H⁺,L-2-Amino-6-(2-methylpropamido)hexanoic acid-Isobutyroyl-L-lysine),C10H20N2O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.42,,,False
H⁺,L-2-Amino-6-acetamidohexanoic acid-Acetyl-L-lysine),C8H16N2O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.52,,,False
H⁺,L-2-Amino-3-(oxalylamido)propanoic acid,C5H8N2O5,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.95,,,False
H⁺,N(6)-d-Biotinyl-L-lysine,C16H28N4O4S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.29,,,False
H⁺,d-Biocytin sulfoxide,C16H28N4O5S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.3,,,False
H⁺,d-Biocytin sulfone,C16H28N4O6S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.31,,,False
H⁺,L-2-Amino-5-ureidopentanoic acid,C6H13N3O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.33,,,False
H⁺,DL-2-Amino-3-methoxypropanoic acid,C4H9N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],10,0.0,Log K,9.576,,,False
H⁺,L-2-Amino-3-(phenylmethoxy)propanoic acid,C10H13N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.03,C16H28N4O4S,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCCC[C@@H](C(=O)O)N)NC(=O)N2,False
H⁺,L-2-Amino-3-(4-methoxyphenyl)propanoic acid,C10H13N1O3,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.15,,,False
H⁺,"DL-2-Amino-3-(3,4-dimethoxyphenyl)propanoic acid",C11H15N1O4,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.02,,,False
H⁺,L-2-Amino-3-mercaptopropanoic acid,C3H7N1O2S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.3,,,False
H⁺,D-2-Amino-3-mercapto-3-methylbutanoic acid,C5H11N1O2S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.67,,,False
H⁺,DL-2-Amino-3-mercapto-3-methylpentanoic acid,C6H13N1O2S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],30,0.1,Log K,10.5,,,False
H⁺,DL-2-Amino-4-mercaptobutanoic acid,C4H9N1O2S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],30,0.1,Log K,10.38,,,False
H⁺,DL-2-Amino-3-(2-mercaptoimidazo-4-yl)propanoic acid,C6H9N3O2S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,11.77,,,False
H⁺,L-2-Amino-3-(methylthio)propanoic acid,C4H9N1O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.74,C3H7NO2S,C([C@@H](C(=O)O)N)S,False
H⁺,L-2-Amino-3-(ethylthio)propanoic acid,C5H11N1O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.65,,,False
H⁺,L-2-Amino-4-(methylthio)butanoic acid,C5H11N1O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.08,,,False
H⁺,L-2-Amino-4-(ethylthio)butanoic acid,C6H13N1O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.05,,,False
H⁺,L-2-Amino-3-(carboxymethylthio)propanoic acid,C5H9N1O4S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.89,,,False
H⁺,L-2-Amino-3-(2-carboxyethylthio)propanoic acid,C6H11N1O4S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,2.0,Log K,9.08,C5H11NO2S,CSCC[C@@H](C(=O)O)N,False
H⁺,L-2-Amino-3-(2-hydroxyethylthio)propanoic acid,C5H11N1O3S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,8.64,C6H13NO2S,CCSCC[C@@H](C(=O)O)N,False
H⁺,L-2-Amino-3-(2-acetamidoethylthio)propanoic acid,C7H14N2O3S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,8.65,,,False
H⁺,L-2-Amino-3-(2-acetamidoethylsulfinyl)propanoic acid,C7H14N2O4S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,7.57,,,False
H⁺,L-2-Amino-3-(2-acetamidoethylsulfonyl)propanoic acid,C7H14N2O5S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,7.44,,,False
H⁺,L-2-Amino-3-(2-Cyanoethylthio)propanoic acidcysteine),C6H10N2O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],30,0.5,Log K,8.46,,,False
H⁺,L-2-Amino-3-(Ethoxy-3-oxopropylthio)propanoic acidcysteine),C8H15N1O4S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],30,0.5,Log K,8.51,,,False
H⁺,L-2-Amino-3-(carboxymethylsulfinyl)propanoic acid,C5H9N1O5S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,7.9,,,False
H⁺,L-2-Amino-3-(carboxymethylsulfonyl)propanoic acid,C5H9N1O6S1,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,7.68,,,False
H⁺,5-Amino-3-thiapentanoic acid,C5H11N1O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,9.53,,,False
H⁺,6-Amino-3-thiahexanoic acid,C6H13N1O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.5,Log K,10.19,,,False
H⁺,6-Amino-4-thiahexanoic acid,C6H13N1O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.54,,,False
H⁺,DL-2-(Acetylamino)-3-(2-aminoethylthio)propanoic acid,C7H14N2O3S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.39,,,False
H⁺,L-2-Amino-3-(2-aminoethylthio)propanoic acidcysteine),C5H12N2O2S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.67,,,False
H⁺,L-2-Amino-3-(2-aminoethylsulfinyl)propanoic acid,C5H12N2O3S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,8.37,,,False
H⁺,L-2-Amino-3-(2-aminoethylsulfonyl)propanoic acid,C5H12N2O4S1,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,8.02,,,False
H⁺,L-2-Amino-3-(2-aminoethyldithio)propanoic acid,C5H12N2O2S2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.3,,,False
H⁺,"L-2,3-Diaminopropanoic acid",C3H8N2O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.39,,,False
H⁺,L-2-Amino-3-(methylamino)propanoic acid,C4H10N2O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.76,,,False
H⁺,"L-2,4-Diaminobutanoic acid",C4H10N2O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.28,,,False
H⁺,"L-2,5-Diaminopentanoic acid",C5H12N2O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.52,C3H8N2O2,C([C@@H](C(=O)O)N)N,False
H⁺,"L-2,6-Diaminohexanoic acid",C6H14N2O2,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,10.66,C4H10N2O2,C(CN)[C@@H](C(=O)O)N,False
H⁺,"DL-2,7-Diaminooctanedioic acid",C8H16N2O4,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.89,,,False
H⁺,"DL-2,6-Diamino-5-hydroxyhexanoic acid",C6H12N2O5,HL,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.79,C5H13ClN2O2,C(C[C@@H](C(=O)O)N)CN.Cl,False
H⁺,"L-3,3'-Dithiobis(2-aminopropanoic acid)",C6H12N2O4S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,8.8,,,False
H⁺,"D-3,3'-Dithiobis(2-amino-3-methylbutanoic acid)",C10H20N2O4S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.74,,,False
H⁺,"DL-4,4'-Dithiobis(2-aminobutanoic acid)",C8H16N2O4S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,9.41,,,False
H⁺,"L-Methylenedithio-3,3'-bis(2-aminopropanoic acid)",C7H14N2O4S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],25,0.1,Log K,8.97,,,False
H⁺,"L-Ethylenedithio-3,3'-bis(2-aminopropanoic acid)",C8H16N2O4S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.13,,,False
H⁺,"L-Trimethylenedithio-3,3'-bis(2-aminopropanoic acid)",C9H18N2O4S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.15,,,False
H⁺,"L-Tetramethylenedithio-3,3'-bis(2-aminopropanoic acid)",C10H20N2O4S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.2,,,False
H⁺,"L-2-Hydroxytrimethylenedithio-3,3'-bis(2-aminopropanoic acid)",C9H18N2O5S2,H2L,Aza macrocycles with carboxylic acids,[HL]/[L][H],20,0.1,Log K,9.2,,,False
