SMILES,Identified_Atom_Indices,Identified_Group_Types,Expected_pKa_Count,Found_Group_Count,Reported_pKa_Values,Status
Cc1cncc(C)c1,2,pyridine_nitrogen,1,1,6.25,OK
Cc1csc(N)n1,5:6,primary_amine_N:imidazole_pyridine_type_N,1,2,5.95,Count Mismatch (Groups vs Num)
Cc1cscn1,5,imidazole_pyridine_type_N,1,1,3.13,OK
Cc1nccn1C=C,5,imidazole_pyridine_type_N,1,1,7.09,OK
Cc1noc(N)c1C,2:5,imidazole_pyridine_type_N:primary_amine_N,1,2,1.30,Count Mismatch (Groups vs Num)
Cc1nsc(N)n1,2:5:6,imidazole_pyridine_type_N:primary_amine_N:imidazole_pyridine_type_N,1,3,2.50,Count Mismatch (Groups vs Num)
Cc1sc(C)nn1,2:3,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,0.80,Count Mismatch (Groups vs Num)
Cc1ccnc(C)c1,3,pyridine_nitrogen,1,1,6.71,OK
Cc1ccnc(N)c1,4:6,imidazole_pyridine_type_N:primary_amine_N,1,2,7.47,Count Mismatch (Groups vs Num)
Cc1ccnc(N)n1,4:6:7,imidazole_pyridine_type_N:primary_amine_N:imidazole_pyridine_type_N,1,3,3.89,Count Mismatch (Groups vs Num)
Cc1ccnc(c1)c2cc(C)ccn2,4:12,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,5.34,Count Mismatch (Groups vs Num)
Cc1ccnc2c1ccc3c(C)ccnc23,4:14,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,5.95,Count Mismatch (Groups vs Num)
Cc1ccncc1,4,pyridine_nitrogen,1,1,6.08,OK
Cc1ccncc1C,4,imidazole_pyridine_type_N,1,1,6.52,OK
Cc1ccncn1,4:6,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,2.38,Count Mismatch (Groups vs Num)
[O-][N+](=O)c1cccc(S)c1,,,1,0,5.24,Group Prediction Failed
[O-][N+](=O)c1ccccc1S,,,1,0,5.45,Group Prediction Failed
[O-][N+](=O)c1ccccn1,8,imidazole_pyridine_type_N,1,1,2.06,OK
[O-][N+](=O)c1cccnc1,7,imidazole_pyridine_type_N,1,1,0.80,OK
[O-][N+](=O)c1ccncc1,6,imidazole_pyridine_type_N,1,1,1.23,OK
[O-][n+]1ccccc1S,,,1,0,4.43,Group Prediction Failed
[OH-],,,1,0,14.08,Group Prediction Failed
[SeH]c1cccc2cccnc12,9,imidazole_pyridine_type_N,1,1,8.41,OK
CC(=C\C(O)=O)/C(O)=O,,,1,0,4.82,Group Prediction Failed
CC(=NO)C(=O)c1ccccc1,,,1,0,9.21,Group Prediction Failed
CC(=NO)C(C)(C)N,7,primary_amine_N,1,1,8.99,OK
[Cl-].NC12CC3CC(CC(C3)C1)C2.[H+],0,primary_amine_N,1,1,10.55,OK
[Na+].CN(C)c1ccc(cc1)N=Nc2ccc(cc2)[S]([O-])(=O)=O,,,1,0,3.44,Group Prediction Failed
[O-][N+](=O)c1cc2cccnc2c3ncccc13,9:12,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,3.24,Count Mismatch (Groups vs Num)
[O-][N+](=O)c1ccc(O[P](O)(O)=O)cc1,,,1,0,5.01,Group Prediction Failed
[O-][N+](=O)c1ccc(S)cc1,,,1,0,4.61,Group Prediction Failed
C1CSCN1,4,secondary_amine_N,1,1,6.54,OK
C1N2CN3CN1CN(C2)C3,,,1,0,4.97,Group Prediction Failed
C=CCCCc1ccccn1,10,imidazole_pyridine_type_N,1,1,5.97,OK
C=CCCc1ccccn1,9,imidazole_pyridine_type_N,1,1,5.88,OK
C=CCc1ccccn1,8,imidazole_pyridine_type_N,1,1,5.34,OK
C=Cc1ccccn1,7,imidazole_pyridine_type_N,1,1,5.01,OK
C=Cc1ccncc1,5,imidazole_pyridine_type_N,1,1,5.40,OK
C=Cn1ccnc1,3,imidazole_nitrogen,1,1,5.90,OK
[nH]1nnnc1c2ccccc2,5:6:7,imidazole_pyridine_type_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,3,4.38,Count Mismatch (Groups vs Num)
Brc1cc2cccnc2c3ncccc13,7:10,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,4.09,Count Mismatch (Groups vs Num)
Brc1ccccn1,6,imidazole_pyridine_type_N,1,1,0.70,OK
Brc1cccnc1,5,imidazole_pyridine_type_N,1,1,2.98,OK
Brc1ccncc1,4,imidazole_pyridine_type_N,1,1,3.68,OK
C#N,0,nitrile_N,1,1,9.22,OK
C1CN2CCC1CC2,1:3,tertiary_amine:tertiary_amine,1,2,11.15,Count Mismatch (Groups vs Num)
C1CNC1,2,secondary_amine_N,1,1,11.29,OK
CC(C)(C(O)=O)[N+]([O-])=O,,,1,0,1.81,Group Prediction Failed
CC(C)(C)C(C(O)=O)C(O)=O,,,1,0,7.03,Group Prediction Failed
CC(C)(C)N,4,primary_amine_N,1,1,10.69,OK
CC(C)(C)Nc1ccccc1,4,secondary_amine_N,1,1,7.14,OK
CC(C)(C)S,,,1,0,11.22,Group Prediction Failed
Oc1ccc(cc1)[S](O)(=O)=O,,,1,0,8.79,Group Prediction Failed
Oc1ccc(cc1Br)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)c(Br)c4,,,1,0,6.14,Group Prediction Failed
Oc1ccc(cc1C=O)[S](O)(=O)=O,,,1,0,6.94,Group Prediction Failed
CC(=O)Oc1ccccc1C(O)=O,,,1,0,3.45,Group Prediction Failed
CC(=O)c1c(C)cc(C)nc1C,6,pyridine_nitrogen,1,1,5.91,OK
CC(=O)c1ccc(N)cc1,7,primary_amine_N,1,1,2.29,OK
CC(=O)c1ccc(S)cc1,,,1,0,5.33,Group Prediction Failed
CC(=O)c1ccccn1,8,imidazole_pyridine_type_N,1,1,2.66,OK
CC(=O)c1cccnc1,7,imidazole_pyridine_type_N,1,1,3.38,OK
CC(=O)c1ccncc1,6,imidazole_pyridine_type_N,1,1,3.60,OK
CC(C)(C#N)C(O)=O,,,1,0,2.42,Group Prediction Failed
Sc1cccc2ccccc12,,,1,0,6.34,Group Prediction Failed
Sc1ccccc1,,,1,0,6.50,Group Prediction Failed
Sc1ccccc1Br,,,1,0,5.66,Group Prediction Failed
[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,2:16:17,imidazole_pyridine_type_N:primary_amine_N:imidazole_pyridine_type_N,1,3,4.79,Count Mismatch (Groups vs Num)
CC(=O)NO,,,1,0,9.18,Group Prediction Failed
CC(=O)Nc1ccccn1,9,imidazole_pyridine_type_N,1,1,4.15,OK
CC(=O)Nc1cccnc1,8,imidazole_pyridine_type_N,1,1,4.57,OK
CC(=O)OCC(O)=O,,,1,0,2.81,Group Prediction Failed
Oc1ccccc1F,,,1,0,8.60,Group Prediction Failed
Oc1ccccc1I,,,1,0,8.51,Group Prediction Failed
Oc1ccccc1[N+]([O-])=O,,,1,0,7.19,Group Prediction Failed
S=C(NNc1ccccc1)N=Nc2ccccc2,10:11,secondary_amine_N:secondary_amine_N,1,2,4.45,Count Mismatch (Groups vs Num)
SC#N,,,1,0,0.93,Group Prediction Failed
Sc1[nH]ccn1,2,imidazole_pyridine_type_N,1,1,11.21,OK
Sc1ccc(Br)cc1,,,1,0,6.02,Group Prediction Failed
Sc1ccc2ccccc2c1,,,1,0,6.47,Group Prediction Failed
CC(C)(N)C(N)=O,3,primary_amine_N,1,1,8.06,OK
CC(C)(N)CO,3,primary_amine_N,1,1,9.82,OK
CC(C)(NC(N)=O)C(O)=O,,,1,0,4.46,Group Prediction Failed
CC(C)(O)C(O)=O,,,1,0,3.85,Group Prediction Failed
CC(C)(O)CCC(O)=O,,,1,0,4.69,Group Prediction Failed
CC(C)C(C#N)(C(C)C)C(O)=O,,,1,0,2.56,Group Prediction Failed
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,,,1,0,3.72,Group Prediction Failed
Oc1c2ccccc2ccc1[N+]([O-])=O,,,1,0,5.73,Group Prediction Failed
Oc1ccccc1,,,1,0,9.81,Group Prediction Failed
CC(C)(C)SCC(O)=O,,,1,0,3.64,Group Prediction Failed
CC(C)(C)SCCN,7,primary_amine_N,1,1,9.34,OK
CC(C)(C)c1ccc(O)cc1,,,1,0,10.31,Group Prediction Failed
CC(C)(C)c1ccncc1,7,imidazole_pyridine_type_N,1,1,6.10,OK
CC(C)(CO)C(O)=O,,,1,0,4.87,Group Prediction Failed
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(N)=O,3,primary_amine_N,1,1,7.76,OK
CC(C)(N)C(=O)NC(C)(C)C(N)=O,3,primary_amine_N,1,1,7.93,OK
Oc1cccc(Br)c1,,,1,0,8.89,Group Prediction Failed
Oc1cccc(F)c1,,,1,0,9.01,Group Prediction Failed
Oc1cccc(I)c1,,,1,0,8.89,Group Prediction Failed
Oc1cccc(c1)C#N,,,1,0,8.46,Group Prediction Failed
Oc1cccc(c1)[N+]([O-])=O,,,1,0,8.21,Group Prediction Failed
Oc1cccc2cccc(c12)[S](O)(=O)=O,,,1,0,12.57,Group Prediction Failed
Oc1cccc2ccccc12,,,1,0,9.17,Group Prediction Failed
Oc1cccc[n+]1[O-],,,1,0,5.81,Group Prediction Failed
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,,,1,0,4.02,Group Prediction Failed
Oc1ccc2C=CC(=O)Oc2c1,,,1,0,7.66,Group Prediction Failed
Oc1ccc2cc(cc(c2c1)[S](O)(=O)=O)[S](O)(=O)=O,,,1,0,8.61,Group Prediction Failed
Oc1ccc2cc(ccc2c1)[S](O)(=O)=O,,,1,0,8.90,Group Prediction Failed
Oc1ccc2ccc(cc2c1)[S](O)(=O)=O,,,1,0,9.05,Group Prediction Failed
Oc1ccc2ccccc2c1,,,1,0,9.34,Group Prediction Failed
Oc1ccc2ccccc2c1N=O,,,1,0,7.68,Group Prediction Failed
Oc1ccc2ccccc2c1[N+]([O-])=O,,,1,0,5.75,Group Prediction Failed
CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,13,primary_amine_N,1,1,7.90,OK
O[S](=O)(=O)C1=CC(=O)C(=O)c2ccccc12,,,1,0,10.51,Group Prediction Failed
O[S](=O)(=O)CCN1CCN(CC1)CC[S](O)(=O)=O,,,1,0,7.09,Group Prediction Failed
O[W](O)(=O)=O,,,1,0,3.08,Group Prediction Failed
Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,,,1,0,0.22,Group Prediction Failed
Oc1c(ccc2ccccc12)N=O,,,1,0,7.30,Group Prediction Failed
O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,,,1,0,3.27,Group Prediction Failed
O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,,,1,0,3.04,Group Prediction Failed
Oc1ccc(cc1)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)cc4,,,1,0,7.67,Group Prediction Failed
Oc1ccc(cc1)N=O,,,1,0,6.33,Group Prediction Failed
Oc1ccc(cc1)[N+]([O-])=O,,,1,0,7.03,Group Prediction Failed
CC(C)C(C#N)C(O)=O,,,1,0,2.40,Group Prediction Failed
CC(C)CCN,5,primary_amine_N,1,1,10.64,OK
CC(C)CN,4,primary_amine_N,1,1,10.53,OK
CC(C)CNc1ccccc1,4,secondary_amine_N,1,1,4.91,OK
CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,9,primary_amine_N,1,1,7.95,OK
Oc1cc2ccc(cc2cc1[S](O)(=O)=O)[S](O)(=O)=O,,,1,0,9.14,Group Prediction Failed
Oc1ccc(Br)cc1,,,1,0,9.15,Group Prediction Failed
Oc1ccc(CC=C)cc1,,,1,0,10.23,Group Prediction Failed
Oc1ccc(F)cc1,,,1,0,9.68,Group Prediction Failed
Oc1ccc(I)cc1,,,1,0,9.33,Group Prediction Failed
Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,,,1,0,5.42,Group Prediction Failed
Oc1ccc(c2ccccc12)[S](O)(=O)=O,,,1,0,8.05,Group Prediction Failed
Oc1ccc(cc1)C#N,,,1,0,7.86,Group Prediction Failed
Oc1c2ccccc2ccc1[S](O)(=O)=O,,,1,0,9.03,Group Prediction Failed
Oc1cc(Br)cc(Br)c1,,,1,0,8.06,Group Prediction Failed
Oc1cc(I)cc(I)c1,,,1,0,8.10,Group Prediction Failed
Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,,,1,0,6.73,Group Prediction Failed
Oc1cc(cc2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,,,1,0,8.07,Group Prediction Failed
Oc1cc(cc2cccc(c12)[S](O)(=O)=O)[S](O)(=O)=O,,,1,0,11.40,Group Prediction Failed
Oc1cc(cc2ccccc12)[S](O)(=O)=O,,,1,0,8.43,Group Prediction Failed
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,,,1,0,5.25,Group Prediction Failed
ON(c1ccccc1)C(=O)c2ccccc2,,,1,0,8.07,Group Prediction Failed
ON1C(=O)CCCC1=O,,,1,0,7.65,Group Prediction Failed
ON=C(c1occc1)C(=NO)c2occc2,,,1,0,9.73,Group Prediction Failed
ON=O,,,1,0,3.01,Group Prediction Failed
ONC(/c1ccccc1)=C(N=O)\c2ccccc2,4,secondary_amine_N,1,1,10.23,OK
ONC(=O)c1ccccc1,,,1,0,8.73,Group Prediction Failed
ONC1=C(CCCC1)N=O,4,secondary_amine_N,1,1,10.63,OK
ONC1=C(CCCCC1)N=O,4,secondary_amine_N,1,1,10.57,OK
OCc1[nH]c2ccccc2n1,3,imidazole_pyridine_type_N,1,1,5.28,OK
OCc1[nH]ccn1,3,imidazole_pyridine_type_N,1,1,7.66,OK
OCc1c[nH]cn1,6,imidazole_pyridine_type_N,1,1,6.75,OK
OCc1cccc(CO)n1,9,imidazole_pyridine_type_N,1,1,4.39,OK
OCc1ccccn1,7,imidazole_pyridine_type_N,1,1,5.01,OK
OCc1cccnc1,6,imidazole_pyridine_type_N,1,1,5.02,OK
OCc1ccncc1,5,imidazole_pyridine_type_N,1,1,5.42,OK
ON(C(=O)C=Cc1ccccc1)c2ccccc2,,,1,0,8.80,Group Prediction Failed
CC(C)C[S](CC(C)C)[P](O)(O)=S,,,1,0,0.04,Group Prediction Failed
CC(C)N,3,primary_amine_N,1,1,10.66,OK
CC(C)Nc1ccccc1,3,secondary_amine_N,1,1,5.66,OK
CC(C)S,,,1,0,10.86,Group Prediction Failed
CC(C)SCC(O)=O,,,1,0,3.69,Group Prediction Failed
CC(C)[C@H](N)C(N)=O,4,primary_amine_N,1,1,7.72,OK
CC(C)[N+]([O-])=O,,,1,0,7.70,Group Prediction Failed
CC(C)c1[nH]ccn1,4,imidazole_pyridine_type_N,1,1,7.77,OK
O[C@@H]1CCCC[C@H]1C(O)=O,,,1,0,4.59,Group Prediction Failed
O[C@@H]1CCC[C@@H](C1)C(O)=O,,,1,0,4.51,Group Prediction Failed
O[C@@H]1CC[C@H](CC1)C(O)=O,,,1,0,4.58,Group Prediction Failed
O[C@H]1CCCC[C@H]1C(O)=O,,,1,0,4.64,Group Prediction Failed
O[C@H]1CCC[C@@H](C1)C(O)=O,,,1,0,4.67,Group Prediction Failed
O[C@H]1CC[C@H](CC1)C(O)=O,,,1,0,4.74,Group Prediction Failed
O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,2:7,imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,2,6.94,Count Mismatch (Groups vs Num)
O[PH2]=O,,,1,0,1.13,Group Prediction Failed
CC1(C)CC(=O)CC(=O)C1,5:8,enolizable_ketone_alpha?:enolizable_ketone_alpha?,1,2,5.23,Count Mismatch (Groups vs Num)
CC1=C(O)C(=O)C=CO1,,,1,0,8.55,Group Prediction Failed
CC1=CC(=CC(=O)O1)O,,,1,0,4.76,Group Prediction Failed
CC1=CC(=O)C(=CO1)O,,,1,0,8.06,Group Prediction Failed
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,,,1,0,9.67,Group Prediction Failed
CC1=CNC(=O)NC1=O,,,1,0,9.83,Group Prediction Failed
OC1=COC=CC1=O,,,1,0,7.84,Group Prediction Failed
OC1CC(=CC(O)C1O)C(O)=O,,,1,0,4.01,Group Prediction Failed
CC(CO)(CO)C(O)=O,,,1,0,4.52,Group Prediction Failed
CC(N)C(=O)NC(C)(C)C(N)=O,2,primary_amine_N,1,1,7.93,OK
CC(O)(C(O)=O)c1ccccc1,,,1,0,3.53,Group Prediction Failed
CC(O)=S,,,1,0,3.20,Group Prediction Failed
CC(O)C(O)=O,,,1,0,3.73,Group Prediction Failed
CC(O)CN,4,primary_amine_N,1,1,9.61,OK
CC(O)Cc1ccccn1,9,imidazole_pyridine_type_N,1,1,5.48,OK
CC(Oc1ccccc1)C(O)=O,,,1,0,2.91,Group Prediction Failed
OCCc1cccnc1,7,imidazole_pyridine_type_N,1,1,5.38,OK
OCCc1ccncc1,6,imidazole_pyridine_type_N,1,1,5.64,OK
OCCc1cn(C=C)cn1,4,imidazole_pyridine_type_N,1,1,6.05,OK
OCCc1nccn1C=C,5,imidazole_pyridine_type_N,1,1,6.39,OK
OCNC(=O)c1cccnc1,9,imidazole_pyridine_type_N,1,1,3.41,OK
OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO[P](O)(O)=O,,,1,0,5.84,Group Prediction Failed
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,,,1,0,3.47,Group Prediction Failed
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3cncnc23,7:10:12,imidazole_pyridine_type_N:imidazole_pyridine_type_N:imidazole_pyridine_type_N,1,3,2.31,Count Mismatch (Groups vs Num)
OCCCc1ccncc1,7,imidazole_pyridine_type_N,1,1,5.87,OK
OCCN1CCN(CC1)CC[S](O)(=O)=O,,,1,0,7.55,Group Prediction Failed
OCCN1CCN(CCC[S](O)(=O)=O)CC1,,,1,0,7.96,Group Prediction Failed
OCCNC(=S)C(=S)NCCO,3:8,secondary_amine_N:secondary_amine_N,1,2,11.07,Count Mismatch (Groups vs Num)
OCCS,,,1,0,9.46,Group Prediction Failed
OCCSCCc1ccccn1,11,imidazole_pyridine_type_N,1,1,5.28,OK
OCCSCc1ccccn1,10,imidazole_pyridine_type_N,1,1,4.61,OK
OCCc1ccccn1,8,imidazole_pyridine_type_N,1,1,5.34,OK
CCC(C)C(N)C(=O)OC,5,primary_amine_N,1,1,7.54,OK
CCC(C)N,4,primary_amine_N,1,1,10.57,OK
CCC(C)Nc1ccccc1,4,secondary_amine_N,1,1,5.50,OK
CCC(N)CC,3,primary_amine_N,1,1,10.46,OK
CCC(NC(C)=O)C(O)=O,,,1,0,3.72,Group Prediction Failed
CCC(NC(N)=O)C(O)=O,,,1,0,3.89,Group Prediction Failed
CCC(O)(CC)C(O)=O,,,1,0,3.68,Group Prediction Failed
CCC(Oc1ccccc1)C(O)=O,,,1,0,3.03,Group Prediction Failed
OCCCc1ccccn1,9,imidazole_pyridine_type_N,1,1,5.66,OK
OCCCc1cccnc1,8,imidazole_pyridine_type_N,1,1,5.56,OK
CC1CCC(=C(C1)NO)N=O,8,secondary_amine_N,1,1,10.54,OK
CC1CCNCC1,4,secondary_amine_N,1,1,11.08,OK
CCC(=O)C(O)=O,,,1,0,2.49,Group Prediction Failed
CCC(=O)NCC(O)=O,,,1,0,3.72,Group Prediction Failed
CCC(=O)NO,,,1,0,9.44,Group Prediction Failed
CCC(C)C(CC)(C(O)=O)C(O)=O,,,1,0,8.40,Group Prediction Failed
OCCC(O)=O,,,1,0,4.43,Group Prediction Failed
OCCCC(O)=O,,,1,0,4.80,Group Prediction Failed
OCCCCCc1ccccn1,11,imidazole_pyridine_type_N,1,1,5.93,OK
OCCCCCc1cccnc1,10,imidazole_pyridine_type_N,1,1,5.72,OK
OCCCCCc1ccncc1,9,imidazole_pyridine_type_N,1,1,6.04,OK
OCCCCc1ccccn1,10,imidazole_pyridine_type_N,1,1,5.83,OK
OCCCCc1cccnc1,9,imidazole_pyridine_type_N,1,1,5.70,OK
OCCCCc1ccncc1,8,imidazole_pyridine_type_N,1,1,6.01,OK
OCC(CO)(CO)C(O)=O,,,1,0,4.46,Group Prediction Failed
OCC(O)(CO)C(O)=O,,,1,0,3.34,Group Prediction Failed
OCC(O)=O,,,1,0,3.73,Group Prediction Failed
OCC(O)C(O)=O,,,1,0,3.47,Group Prediction Failed
OCC(O)CO[P](O)(O)=O,,,1,0,6.15,Group Prediction Failed
OCC(O)CS,,,1,0,9.30,Group Prediction Failed
OCC1=CC(=O)C(=C(I)O1)O,,,1,0,6.53,Group Prediction Failed
OCC1=CC(=O)C(=CO1)O,,,1,0,7.75,Group Prediction Failed
CCCCN,4,primary_amine_N,1,1,10.75,OK
CCCCN1C=CC=C(O)C1=O,,,1,0,9.06,Group Prediction Failed
CCCCNc1ccccc1,4,secondary_amine_N,1,1,5.18,OK
OC(=O)c1cccc(Br)c1,,,1,0,3.81,Group Prediction Failed
OC(=O)c1cccc(F)c1,,,1,0,3.77,Group Prediction Failed
OC(=O)c1cccc(F)c1F,,,1,0,3.10,Group Prediction Failed
OC(=O)c1cccc(I)c1,,,1,0,3.85,Group Prediction Failed
OC(=O)c1cccc(Oc2ccccc2)c1,,,1,0,3.95,Group Prediction Failed
CCCCC(N)C(=O)OC,5,primary_amine_N,1,1,7.68,OK
CCCCC(O)C(O)=O,,,1,0,3.68,Group Prediction Failed
CCCCCCCC(CCCCCCC)(C(O)=O)C(O)=O,,,1,0,7.34,Group Prediction Failed
CCCCCCN,6,primary_amine_N,1,1,10.64,OK
CCCCCCSCC(O)=O,,,1,0,3.65,Group Prediction Failed
CCCCCN,5,primary_amine_N,1,1,10.66,OK
CCCCCNc1ccccc1,5,secondary_amine_N,1,1,5.17,OK
CCCCCSCC(O)=O,,,1,0,3.64,Group Prediction Failed
OC1=C(Br)C=CC=CC1=O,,,1,0,5.14,Group Prediction Failed
OC1=C(C(=O)C(=C(C1=O)[N+]([O-])=O)O)[N+]([O-])=O,,,1,0,0.50,Group Prediction Failed
OC1=CC(=O)C(=O)c2ccccc12,,,1,0,4.00,Group Prediction Failed
OC1=CC(=O)Oc2ccccc12,,,1,0,4.11,Group Prediction Failed
OC1=CC=C(C=CC1=O)C#N,,,1,0,3.72,Group Prediction Failed
CCC1=C(O)C(=O)C=CO1,,,1,0,8.56,Group Prediction Failed
CCCC(N)C(=O)OC,4,primary_amine_N,1,1,7.66,OK
CCCC(O)(CCC)C(O)=O,,,1,0,3.80,Group Prediction Failed
OC(=O)c1occc1,,,1,0,3.05,Group Prediction Failed
OC(=O)c1sccc1,,,1,0,3.41,Group Prediction Failed
OC(C(F)(F)F)C(F)(F)F,,,1,0,9.42,Group Prediction Failed
OC(C(O)=O)c1ccccc1,,,1,0,3.29,Group Prediction Failed
OC(CC(O)=O)c1ccccc1,,,1,0,4.40,Group Prediction Failed
OC(Cc1ccccn1)c2ccccc2,8,imidazole_pyridine_type_N,1,1,5.20,OK
OC(O)(C(F)(F)F)C(F)(F)F,,,1,0,6.65,Group Prediction Failed
OC(O)=C1OC(=CC(=O)C1=O)C(O)=O,,,1,0,9.82,Group Prediction Failed
CCCc1ccccc1O,,,1,0,10.50,Group Prediction Failed
CCCc1ccccn1,8,imidazole_pyridine_type_N,1,1,6.05,OK
CCCn1ccnc1,3,imidazole_nitrogen,1,1,7.22,OK
CCN,2,primary_amine_N,1,1,10.73,OK
CCN(CC)C(=O)CCN,9,primary_amine_N,1,1,9.44,OK
CCN(CC)C(=O)CN,8,primary_amine_N,1,1,8.45,OK
CCN(CC)C(S)=S,,,1,0,3.28,Group Prediction Failed
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,,,1,0,2.68,Group Prediction Failed
CCCN,3,primary_amine_N,1,1,10.65,OK
CCCNc1ccccc1,3,secondary_amine_N,1,1,5.10,OK
CCCOCC(O)=O,,,1,0,3.59,Group Prediction Failed
CCCON=C(CCC)C=NO,,,1,0,10.81,Group Prediction Failed
CCCSCC(O)=O,,,1,0,3.70,Group Prediction Failed
CCCSCCN,6,primary_amine_N,1,1,9.45,OK
CCC[N+]([O-])=O,,,1,0,9.00,Group Prediction Failed
CCC[S](O)(=O)=O,,,1,0,1.53,Group Prediction Failed
OC(=O)c1ccccc1c2ccccc2C(O)=O,,,1,0,3.27,Group Prediction Failed
CCCCOC(=O)CN,8,primary_amine_N,1,1,7.78,OK
CCCCO[P](O)(O)=O,,,1,0,6.72,Group Prediction Failed
CCCCO[P]([O-])(=O)OCCCC,,,1,0,1.00,Group Prediction Failed
CCCCSCC(O)=O,,,1,0,3.72,Group Prediction Failed
CCCC[S](CCCC)[P](O)(O)=S,,,1,0,0.08,Group Prediction Failed
CCCC[Se]CC(O)=O,,,1,0,3.82,Group Prediction Failed
CCCCn1ccnc1,7,imidazole_pyridine_type_N,1,1,7.22,OK
OC(=O)c1cccc(c1)C#N,,,1,0,3.60,Group Prediction Failed
OC(=O)c1cccc(c1)[N+]([O-])=O,,,1,0,3.36,Group Prediction Failed
OC(=O)c1cccc[n+]1[O-],,,1,0,3.31,Group Prediction Failed
OC(=O)c1ccccc1Br,,,1,0,2.85,Group Prediction Failed
OC(=O)c1ccccc1F,,,1,0,3.47,Group Prediction Failed
OC(=O)c1ccccc1I,,,1,0,2.86,Group Prediction Failed
