Metal ion,Ligand,Formula,Ligand class,Equilibrium,Temperature (C),Ionic strength,Value type,Value,Note,SMILES,max_eq_num,AcidCount,AmineCount,PhenolCount,PyridineCount,MonoPhosphateCount,ImidazoleNHCount,CyclicAmineCount,Ligand_class_id,molecular_weight,HBD,HBA,logP,TPSA
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,3.0,Log K,10.3,NaClO₄ used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,5.0,Log K,10.71,NaCl used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],10,0.0,Log K,10.295,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,0.0,Log K,9.868,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],40,0.0,Log K,9.491,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,2.33,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],37,0.15,Log K,2.31,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,0.5,Log K,2.35,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,1.0,Log K,2.4,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,2.0,Log K,2.62,NaClO₄ used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,3.0,Log K,2.72,KCl used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,3.0,Log K,2.77,NaClO₄ used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,5.0,Log K,3.01,NaCl used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],10,0.0,Log K,2.39,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],25,0.0,Log K,2.344,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[H₂L]/[HL][H],40,0.0,Log K,2.326,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.63,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[HL]/[L][H],25,1.0,Log K,9.63,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[HL]/[L][H],25,3.0,Log K,10.24,NaClO₄ used as background electrolyte.,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[HL]/[L][H],25,5.0,Log K,10.61,NaCl used as background electrolyte.,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[HL]/[L][H],10,0.0,Log K,10.25,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[HL]/[L][H],25,0.0,Log K,9.83,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[HL]/[L][H],40,0.0,Log K,9.46,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,2.3,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[H₂L]/[HL][H],25,1.0,Log K,2.32,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[H₂L]/[HL][H],25,3.0,Log K,2.79,NaClO₄ used as background electrolyte.,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[H₂L]/[HL][H],25,5.0,Log K,2.97,NaCl used as background electrolyte.,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[H₂L]/[HL][H],10,0.0,Log K,2.31,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[H₂L]/[HL][H],25,0.0,Log K,2.286,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminobutanoic acid,C4H9N1O2,Amino Acids,[H₂L]/[HL][H],40,0.0,Log K,2.29,,CCC(N)C(O)=O,2,1,1,0,0,0,0,0,0,103.121,2,2,-0.1917,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.65,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[HL]/[L][H],10,0.0,Log K,10.23,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[HL]/[L][H],25,0.0,Log K,9.808,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[HL]/[L][H],40,0.0,Log K,9.43,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,2.31,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],10,0.0,Log K,2.346,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],25,0.0,Log K,2.318,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminopentanoic acid (Norvaline),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],40,0.0,Log K,2.308,,CCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.1984,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.68,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],10,0.0,Log K,10.261,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,0.0,Log K,9.834,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],40,0.0,Log K,9.452,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,2.31,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],10,0.0,Log K,2.362,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],25,0.0,Log K,2.335,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,DL-2-Aminohexanoic acid (Norleucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],40,0.0,Log K,2.323,,CCCC[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.5885,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.52,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[HL]/[L][H],37,0.15,Log K,9.17,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[HL]/[L][H],25,0.5,Log K,9.45,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[HL]/[L][H],25,1.0,Log K,9.5,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[HL]/[L][H],10,0.0,Log K,10.133,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[HL]/[L][H],25,0.0,Log K,9.719,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[HL]/[L][H],40,0.0,Log K,9.345,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,2.27,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],37,0.15,Log K,2.27,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],25,0.5,Log K,2.3,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],25,1.0,Log K,2.33,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],10,0.0,Log K,2.3,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],25,0.0,Log K,2.286,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-3-methylbutanoic acid (Valine),C5H11N1O2,Amino Acids,[H₂L]/[HL][H],40,0.0,Log K,2.294,,CC(C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,117.148,2,2,0.0543,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.58,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[HL]/[L][H],37,0.15,Log K,9.25,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,0.5,Log K,9.57,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,1.0,Log K,9.6,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[HL]/[L][H],10,0.0,Log K,10.166,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,0.0,Log K,9.744,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[HL]/[L][H],40,0.0,Log K,9.374,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,2.32,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],37,0.15,Log K,2.32,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],25,0.5,Log K,2.27,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],25,1.0,Log K,2.36,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],10,0.0,Log K,2.353,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],25,0.0,Log K,2.328,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-4-methylpentanoic acid (Leucine),C6H13N1O2,Amino Acids,[H₂L]/[HL][H],40,0.0,Log K,2.32,,CC(C)C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-3-methylpentanoic acid (Isoleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.6,,CC[C@H](C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-3-methylpentanoic acid (Isoleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],37,0.15,Log K,9.24,,CC[C@H](C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-3-methylpentanoic acid (Isoleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,0.5,Log K,9.55,,CC[C@H](C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
H⁺,L-2-Amino-3-methylpentanoic acid (Isoleucine),C6H13N1O2,Amino Acids,[HL]/[L][H],25,3.0,Log K,10.15,NaClO₄ used as background electrolyte.,CC[C@H](C)[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,131.175,2,2,0.4444,63.32
