SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order
C[C@H](N)C(O)=O,10.2,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,10.3,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,10.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,10.295,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,9.868,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,9.491,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.33,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.31,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.35,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.4,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.62,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.72,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.77,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,3.01,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.39,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.344,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
C[C@H](N)C(O)=O,2.326,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary)
CCC(N)C(O)=O,9.63,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,9.63,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,10.24,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,10.61,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,10.25,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,9.83,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,9.46,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,2.3,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,2.32,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,2.79,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,2.97,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,2.31,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,2.286,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC(N)C(O)=O,2.29,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CCC[C@H](N)C(O)=O,9.65,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCC[C@H](N)C(O)=O,10.23,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCC[C@H](N)C(O)=O,9.808,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCC[C@H](N)C(O)=O,9.43,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCC[C@H](N)C(O)=O,2.31,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCC[C@H](N)C(O)=O,2.346,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCC[C@H](N)C(O)=O,2.318,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCC[C@H](N)C(O)=O,2.308,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CCCC[C@H](N)C(O)=O,9.68,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CCCC[C@H](N)C(O)=O,10.261,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CCCC[C@H](N)C(O)=O,9.834,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CCCC[C@H](N)C(O)=O,9.452,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CCCC[C@H](N)C(O)=O,2.31,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CCCC[C@H](N)C(O)=O,2.362,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CCCC[C@H](N)C(O)=O,2.335,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CCCC[C@H](N)C(O)=O,2.323,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)[C@H](N)C(O)=O,9.52,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,9.17,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,9.45,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,9.5,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,10.133,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,9.719,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,9.345,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,2.27,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,2.27,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,2.3,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,2.33,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,2.3,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,2.286,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)[C@H](N)C(O)=O,2.294,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary)
CC(C)C[C@H](N)C(O)=O,9.58,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,9.25,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,9.57,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,9.6,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,10.166,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,9.744,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,9.374,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,2.32,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,2.32,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,2.27,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,2.36,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,2.353,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,2.328,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)C[C@H](N)C(O)=O,2.32,5:7,amine_primary:carboxylic_acid,L-2-Amino-4-methylpentanoic acid (Leucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,9.6,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,9.24,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,9.55,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,10.15,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,10.17,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,9.758,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,9.479,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,2.26,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,2.24,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,2.4,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,2.84,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,2.333,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@H](N)C(O)=O,2.318,5:7,amine_primary:carboxylic_acid,L-2-Amino-3-methylpentanoic acid (Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@@H](N)C(O)=O,9.62,5:7,amine_primary:carboxylic_acid,D-allo-2-Amino-3-methylpentanoic acid (D-allo-Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC[C@H](C)[C@@H](N)C(O)=O,2.2,5:7,amine_primary:carboxylic_acid,D-allo-2-Amino-3-methylpentanoic acid (D-allo-Isoleucine),7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary)
CC(C)(N)C(O)=O,10.1,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,10.07,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,10.11,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,10.58,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,10.65,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,10.206,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,9.81,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,2.34,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,2.33,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,2.48,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,2.84,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,2.38,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
CC(C)(N)C(O)=O,2.357,3:5,amine_primary:carboxylic_acid,2-Amino-2-methylpropanoic acid (2-Aminoisobutyric acid),5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary)
