sample_id,SMILES,metal_ion,true_pka_values,predicted_positions,binding_sites
166,Cc1ncc(C[n+]2csc(CCO[P](O)(=O)O[P](O)(O)=O)c2C)c(N)n1,Ca2+,[2.83],[18],"[2, 6, 8, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25]"
167,NC(=O)CCN(CC(O)=O)CC(O)=O,Ca2+,[3.91],[5],"[0, 2, 5, 8, 9, 12, 13]"
168,NC(CO)C(=O)NCC(O)=O.O[P](O)([O-])=O,Ca2+,[1.85],[0],"[0, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15]"
169,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C2O,Ca2+,[3.945],[18],"[0, 2, 4, 5, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28]"
170,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C2O,Ca2+,[2.87],[14],"[0, 2, 4, 5, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24]"
171,NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1,Ca2+,[3.75],[24],"[0, 2, 4, 6, 8, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29, 31]"
172,NCC(=O)NC(CO)C(=O)NCC(O)=O.O[P](O)([O-])=O,Ca2+,[1.81],[0],"[0, 3, 4, 7, 9, 10, 13, 14, 15, 16, 17, 18, 19]"
173,NCC(=O)NC(CO[P](O)(O)=O)C(O)=O,Ca2+,[1.77],[0],"[0, 3, 4, 7, 8, 9, 10, 11, 13, 14]"
174,NCC(O)=O,Ca2+,[1.09],[0],"[0, 3, 4]"
175,NCCC(=O)NC(Cc1[nH]cnc1)C(O)=O,Ca2+,[3.22],[0],"[0, 4, 5, 9, 11, 14, 15]"
176,NCCCC(O)([P](O)(O)=O)[P](O)(O)=O,Ca2+,[6.1],[0],"[0, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
177,NCCCC[C@H](NC(=O)[C@@H](N)CO)C(O)=O.O[P](O)([O-])=O,Ca2+,[1.53],[0],"[0, 6, 8, 10, 12, 14, 15, 16, 17, 18, 19, 20]"
178,NCCC[P](O)(O)=O,Ca2+,[1.68],[0],"[0, 4, 5, 6, 7]"
179,NCCN,Ca2+,[0.11],[0],"[0, 3]"
180,NCCS,Ca2+,[2.21],[0],"[0, 3]"
181,NO[P](O)(=O)C(c1ccccc1)[P](O)(O)=O,Ca2+,[6.56],[0],"[0, 1, 2, 3, 4, 12, 13, 14, 15]"
182,N[C@@H](CC(O)=O)C(O)=O,Ca2+,[1.7],[0],"[0, 4, 5, 7, 8]"
183,N[C@@H](CCC(O)=O)C(O)=O,Ca2+,[1.43],[0],"[0, 5, 6, 8, 9]"
184,N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(O)=O.O[P](O)([O-])=O,Ca2+,[2.14],[0],"[0, 3, 5, 6, 11, 12, 14, 15, 16, 17, 18, 19, 20]"
185,N[C@@H](CO[P](O)(O)=O)C(O)=O,Ca2+,[1.9],[0],"[0, 3, 4, 5, 6, 7, 9, 10]"
186,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,Ca2+,[3.953333333333333],[0],"[0, 2, 4, 6, 8, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30]"
187,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O,Ca2+,[2.8699999999999997],[0],"[0, 2, 4, 6, 8, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26]"
188,OC(=O)C1(CCC1)C(O)=O,Ca2+,[1.54],[8],"[0, 2, 8, 9]"
189,OC(=O)C1CCC(O1)C(O)=O,Ca2+,[3.06],[9],"[0, 2, 7, 9, 10]"
190,OC(=O)CC(=C)C(O)=O,Ca2+,[1.2],[7],"[0, 2, 7, 8]"
191,OC(=O)CC(CC(O)=O)C(O)=O,Ca2+,[2.0433333333333334],[0],"[0, 2, 7, 8, 10, 11]"
192,OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,Ca2+,[4.58],[8],"[0, 2, 5, 8, 12, 13, 15, 16, 18, 19]"
193,OC(=O)CC(O)(CC(O)=O)C(O)=O,Ca2+,[3.5225],[0],"[0, 2, 5, 8, 9, 11, 12]"
194,OC(=O)CC(O)=O,Ca2+,[1.65],[0],"[0, 2, 5, 6]"
195,OC(=O)CCC(=O)C(O)=O,Ca2+,[1.29],[8],"[0, 2, 6, 8, 9]"
196,OC(=O)CCC(CCC(O)=O)C(O)=O,Ca2+,[1.66],[9],"[0, 2, 9, 10, 12, 13]"
197,OC(=O)CCC(O)=O,Ca2+,[1.405],[6],"[0, 2, 6, 7]"
198,OC(=O)CCCC(O)=O,Ca2+,[1.18],[0],"[0, 2, 7, 8]"
199,OC(=O)CC[P](O)(O)=O,Ca2+,[1.7],[0],"[0, 2, 5, 6, 7, 8]"
200,OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,Ca2+,[4.11],[4],"[0, 2, 4, 7, 8, 11]"
201,OC(=O)CN(CC(O)=O)CC(=O)c1sccc1,Ca2+,[4.26],[4],"[0, 2, 4, 7, 8, 11, 13]"
202,OC(=O)CN(CC(O)=O)Cc1ccccn1,Ca2+,[4.89],[4],"[0, 2, 4, 7, 8, 15]"
203,OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O,Ca2+,[5.05],[19],"[0, 2, 4, 7, 8, 16, 17, 19, 20]"
204,OC(=O)CN(CC(O)=O)c1ccc(Cl)cc1N(CC(O)=O)CC(O)=O,Ca2+,[8.17],[19],"[0, 2, 4, 7, 8, 16, 19, 20, 23, 24]"
205,OC(=O)CN(CC(O)=O)c1cccc(c1)N(CC(O)=O)CC(O)=O,Ca2+,[2.36],[0],"[0, 2, 4, 7, 8, 15, 18, 19, 22, 23]"
206,OC(=O)CN(CC(O)=O)c1ccccc1,Ca2+,[1.5],[7],"[0, 2, 4, 7, 8]"
207,OC(=O)CN(CC(O)=O)c1ccccc1C(O)=O,Ca2+,[5.08],[16],"[0, 2, 4, 7, 8, 16, 17]"
208,OC(=O)CN(CC(O)=O)c1ccccc1N(CC(O)=O)CC(O)=O,Ca2+,[8.6],[18],"[0, 2, 4, 7, 8, 15, 18, 19, 22, 23]"
209,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,Ca2+,[10.73],[7],"[0, 2, 4, 7, 10, 11, 14, 15, 18, 19]"
210,OC(=O)CNc1cc(C(O)=O)c(cc1C(O)=O)N(CC(O)=O)CC(O)=O,Ca2+,[5.75],[15],"[0, 2, 4, 9, 10, 15, 16, 17, 20, 21, 24, 25]"
211,OC(=O)COCC(O)=O,Ca2+,[-0.09499999999999997],[7],"[0, 2, 4, 7, 8]"
212,OC(=O)COc1ccccc1,Ca2+,[0.65],[0],"[0, 2, 4]"
213,OC(=O)C\C(=C/C(O)=O)C(O)=O,Ca2+,[1.57],[10],"[0, 2, 7, 8, 10, 11]"
214,OC(=O)[P](O)(O)=O,Ca2+,[3.57],[0],"[0, 2, 3, 4, 5, 6]"
215,OC(=O)\C=C/C(O)=O,Ca2+,[1.6800000000000002],[0],"[0, 2, 6, 7]"
216,OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)[S](O)(=O)=O,Ca2+,[3.1],[9],"[0, 2, 9, 10, 11, 18, 19, 20, 21]"
217,OC(=O)c1ccc(cc1)C(O)=O,Ca2+,[1.4],[10],"[0, 2, 10, 11]"
218,OC(=O)c1ccccc1C(O)=O,Ca2+,[0.25],[10],"[0, 2, 10, 11]"
219,OC(=O)c1ccccn1,Ca2+,[1.8],[8],"[0, 2, 8]"
220,OC(=O)c1oc(cc1)C(O)=O,Ca2+,[1.34],[9],"[0, 2, 4, 9, 10]"
221,OC(C(CC(O)=O)C(O)=O)C(O)=O,Ca2+,[2.54],[11],"[0, 5, 6, 8, 9, 11, 12]"
222,OC(CC(O)=O)C(O)=O,Ca2+,[1.98],[4],"[0, 4, 5, 7, 8]"
223,OC(CNC(C(O)=O)C(O)=O)CNC(C(O)=O)C(O)=O,Ca2+,[3.08],[12],"[0, 3, 6, 7, 9, 10, 12, 15, 16, 18, 19]"
224,OC1=CC=CC=CC1=O,Ca2+,[3.06],[0],"[0, 8]"
225,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,Ca2+,[3.945],[14],"[0, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 26, 28]"
226,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,Ca2+,[3.945],[14],"[0, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 26, 27, 29]"
227,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,Ca2+,[2.9],[10],"[0, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 24]"
228,OCC(O)=O,Ca2+,[1.11],[3],"[0, 3, 4]"
