smiles,true_pka,pred_pka,rmse,true_cla,pred_cla,acc,prec,rec,f1,is_train,pka_matrix,func_mapping,func_mapping_pred
c1cc(ccn1)C=Cc2ccncc2,"[4.409999847412109, 5.650000095367432]","[4.8297200202941895, 5.474059581756592]",0.3218074662923762,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(5, 4.41), (11, 5.65)]","{'4.41': 'Pyridine', '5.65': 'Pyridine'}","{4.8297200202941895: 'Pyridine', 5.474059581756592: 'Pyridine'}"
Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,[3.549999952316284],[3.8933045864105225],0.3433046381939296,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(0, 3.55)]",{'3.55': 'Aniline'},{3.8933045864105225: 'Aniline'}
O[C@@H]1CCCC[C@H]1C(O)=O,[4.489999771118164],[3.967914581298828],0.5220851794750861,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(8, 4.49)]",{'4.49': 'COOH'},{3.967914581298828: 'COOH'}
NCC(O)C(O)=O,"[2.6600000858306885, 9.130000114440918]","[2.5058982372283936, 9.082417488098145]",0.1140427235873292,"[[1, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(5, 2.66), (0, 9.13)]","{'2.66': 'COOH', '9.13': 'PrimaryAmine'}","{2.5058982372283936: 'COOH', 9.082417488098145: 'PrimaryAmine'}"
CCOC(=O)CCN,[9.180000305175781],[9.032933235168457],0.1470670681984406,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(7, 9.18)]",{'9.18': 'PrimaryAmine'},{9.032933235168457: 'PrimaryAmine'}
CC(=O)NCC(O)=O,[3.490000009536743],[2.9508285522460938],0.5391714566453814,"[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(6, 3.49)]",{'3.49': 'COOH'},{2.9508285522460938: 'COOH'}
O[C@@H]1CCC[C@@H](C1)C(O)=O,[4.409999847412109],[4.082710266113281],0.3272895850113964,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(8, 4.41)]",{'4.41': 'COOH'},{4.082710266113281: 'COOH'}
Cc1ccnc2c1ccc3c(C)ccnc23,[5.949999809265137],[5.51885986328125],0.4311399533661224,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",0.96875,0.75,1.0,0.8333333333333333,True,"[(4, 5.95)]",{'5.95': 'Pyridine'},{5.51885986328125: 'Pyridine'}
NC(=O)CCCc1ccncc1,[5.639999866485596],[5.036054611206055],0.6039452612985247,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(9, 5.64)]",{'5.64': 'Pyridine'},{5.036054611206055: 'Pyridine'}
OC(CC(O)=O)C(O)=O,"[3.265000104904175, 4.715000152587891]","[2.9555652141571045, 4.837571620941162]",0.2353441308458767,"[[0, 0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(4, 3.265), (7, 4.715)]","{'3.265': 'COOH', '4.715': 'COOH'}","{2.9555652141571045: 'COOH', 4.837571620941162: 'COOH'}"
CC(C)C[C@@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"[2.9000000953674316, 8.34000015258789, 10.359999656677246]","[2.829129219055176, 8.037931442260742, 9.99131965637207]",0.2782044286571489,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(19, 2.9), (15, 8.34), (5, 10.36)]","{'2.9': 'COOH', '8.34': 'Phenol', '10.36': 'PrimaryAmine'}","{2.829129219055176: 'COOH', 8.037931442260742: 'Phenol', 9.99131965637207: 'PrimaryAmine'}"
CCCSCC(O)=O,[3.619999885559082],[3.6751010417938232],0.0551011564075374,"[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(6, 3.62)]",{'3.62': 'COOH'},{3.6751010417938232: 'COOH'}
N[C@@H](CS)C(=O)NCC(O)=O,"[3.1500000953674316, 6.909999847412109, 9.300000190734863]","[3.062182664871216, 6.946896553039551, 9.535616874694824]",0.1467293407651832,"[[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(9, 3.15), (3, 6.91), (0, 9.3)]","{'3.15': 'COOH', '6.91': 'Thiol', '9.3': 'PrimaryAmine'}","{3.062182664871216: 'COOH', 6.946896553039551: 'Thiol', 9.535616874694824: 'PrimaryAmine'}"
CN(CC(=O)NCC(O)=O)C(=O)CN,[8.229999542236328],[7.5223307609558105],0.7076687967978408,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",0.9642857142857144,0.75,1.0,0.8333333333333333,True,"[(13, 8.23)]",{'8.23': 'PrimaryAmine'},{7.5223307609558105: 'PrimaryAmine'}
CN(C)c1ccc(cc1)[S](O)(=O)=O,[3.369999885559082],[2.9402472972869873],0.4297525876773422,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(10, 3.37)]",{'3.37': 'SulfonicAcid'},{2.9402472972869873: 'SulfonicAcid'}
Oc1ccccc1,[9.779999732971191],[9.42831802368164],0.3516817102709872,"[[1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(0, 9.78)]",{'9.78': 'Phenol'},{9.42831802368164: 'Phenol'}
Cc1ncc(CO)c(CN)c1O,"[3.380000114440918, 8.050000190734863, 10.600000381469727]","[5.066222667694092, 8.334891319274902, 10.852607727050781]",0.998051413807561,"[[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(2, 3.38), (11, 8.05), (9, 10.6)]","{'3.38': 'Pyridine', '8.05': 'Phenol', '10.6': 'PrimaryAmine'}","{5.066222667694092: 'Pyridine', 8.334891319274902: 'Phenol', 10.852607727050781: 'PrimaryAmine'}"
OC(=O)C(CCC=C)C(O)=O,"[2.740000009536743, 5.349999904632568]","[2.8361337184906006, 5.397773265838623]",0.075907787389094,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(0, 2.74), (9, 5.35)]","{'2.74': 'COOH', '5.35': 'COOH'}","{2.8361337184906006: 'COOH', 5.397773265838623: 'COOH'}"
N[C@@H](CC(N)=O)C(O)=O,"[2.1600000858306885, 8.729999542236328]","[2.201511859893799, 8.262185096740723]",0.3320945567197254,"[[1, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(7, 2.16), (0, 8.73)]","{'2.16': 'COOH', '8.73': 'PrimaryAmine'}","{2.201511859893799: 'COOH', 8.262185096740723: 'PrimaryAmine'}"
Oc1ccccc1F,[8.489999771118164],[8.451696395874023],0.0383033750541845,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(0, 8.49)]",{'8.49': 'Phenol'},{8.451696395874023: 'Phenol'}
CCN,[10.6899995803833],[11.341517448425293],0.65151785919438,"[[0, 0, 1], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(2, 10.69)]",{'10.69': 'PrimaryAmine'},{11.341517448425293: 'PrimaryAmine'}
NCC(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"[3.190000057220459, 7.909999847412109, 9.75]","[2.7047877311706543, 7.523137092590332, 10.6232271194458]",0.6184980505648138,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(19, 3.19), (0, 7.91), (15, 9.75)]","{'3.19': 'COOH', '7.91': 'PrimaryAmine', '9.75': 'Phenol'}","{2.7047877311706543: 'COOH', 7.523137092590332: 'PrimaryAmine', 10.6232271194458: 'Phenol'}"
NCC(=O)NC(CO[P](O)(O)=O)C(O)=O,"[2.9100000858306885, 6.03000020980835, 8.420000076293945]","[2.8039443492889404, 5.757168769836426, 8.228677749633789]",0.2018985309261848,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",0.9666666666666668,0.8541666666666666,1.0,0.9142857142857144,True,"[(13, 2.91), (9, 6.03), (0, 8.42)]","{'2.91': 'COOH', '6.03': 'PhosphonicAcid', '8.42': 'PrimaryAmine'}","{2.8039443492889404: 'COOH', 5.757168769836426: 'PhosphonicAcid', 8.228677749633789: 'PrimaryAmine'}"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(O)=O,"[3.3399999141693115, 8.199999809265137]","[3.1850311756134033, 7.880825042724609]",0.2508862700370945,"[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(21, 3.34), (2, 8.2)]","{'3.34': 'COOH', '8.2': 'PrimaryAmine'}","{3.1850311756134033: 'COOH', 7.880825042724609: 'PrimaryAmine'}"
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O,"[3.309999942779541, 8.359999656677246]","[3.2314064502716064, 8.007795333862305]",0.2551713384686074,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(25, 3.31), (0, 8.36)]","{'3.31': 'COOH', '8.36': 'PrimaryAmine'}","{3.2314064502716064: 'COOH', 8.007795333862305: 'PrimaryAmine'}"
C=Cc1ccncc1,[5.400000095367432],[4.9932074546813965],0.406792645067026,"[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(5, 5.4)]",{'5.4': 'Pyridine'},{4.9932074546813965: 'Pyridine'}
O[P](O)(=O)CBr,"[1.2000000476837158, 6.239999771118164]","[1.5678589344024658, 6.534694671630859]",0.3332905953049842,"[[1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",1.0,1.0,1.0,1.0,True,"[(0, 1.2), (2, 6.24)]","{'1.2': 'Phosphate', '6.24': 'Phosphate'}","{1.5678589344024658: 'Phosphate', 6.534694671630859: 'Phosphate'}"
